method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.14119571928758276,0.23734932978947137,0.38058984881494007,-8.969087348428305,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
ff,6,0.0,0.16799602023162177,0.2373414491319201,0.22953728668902534,1.7614935786390178,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
fm,6,0.0,0.16478813812957271,0.2374047590877905,0.2657418662618324,,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev,11,0.0,0.15809619222717358,0.21865821795228577,0.1985740772017343,-1.744235309971598,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev,11,1e-05,0.1625388566026156,0.20735201004435325,0.16450892316571095,-0.5448680962794933,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev,11,0.0001,0.1516944522469966,0.21458731451016294,-0.005125855335819607,-2.6984043607644987,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev,11,0.001,0.12121904092853543,0.24947022431043434,-0.12307885786578052,-8.053668046454645,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev,11,0.01,0.09478068722701746,0.2560573327607846,-0.16297078078000068,-11.584602704909576,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev,11,0.1,-0.005428535418565742,0.28066238777486296,-0.3137037271702158,-22.204958377780283,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev,11,1.0,-0.10034781641854883,0.2978228785658888,-0.3719297305207618,-35.07219629577556,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev,11,10.0,-0.09270314900980121,0.27756529905929905,-0.3568855376639769,-26.788308040142738,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.0,0.15809619222717922,0.21865821795225562,0.19857407720193568,-1.7442353099716001,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,1e-05,0.15821005682861117,0.21850878014827163,0.19910820279524,-1.7136201715677895,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.0001,0.15917736843580318,0.21723043392591937,0.20329443085413432,-1.4550685076024357,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.001,0.16594766273374265,0.20827518408751602,0.22202779584530907,0.29300659481861135,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.01,0.1827530895353948,0.1914475596788051,0.25239836541011224,4.126567834297281,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.1,0.1744488792065856,0.20562758428531386,0.2847501007387675,1.9784453277209284,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,1.0,0.14671561429456942,0.22261252944384574,0.29565835513877614,-2.9984232395438988,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,10.0,0.1452633015446867,0.21949074457360446,0.3401891235509711,-6.437287357086489,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,100.0,0.14202499999898674,0.21721139821156824,0.37248540219613113,-8.71631918135482,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linlev_m,11,1000.0,0.14128648484513534,0.21764365763032456,0.37391811282015275,-8.94083936368857,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linrank,6,0.0,0.16634588475580456,0.2238450368219356,0.26761607465023046,0.7847956198267946,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linrank,6,1e-05,0.17026910998089134,0.21248484403708884,0.2564747949042942,2.8652923993688098,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
linrank,6,0.0001,0.18834215125852946,0.18148068964117264,0.18130626307467143,11.433249968164992,bgn_gam_estimators_bgnbase_s003_w360_summary@c60eee5+dirty
