method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.15874291485254494,0.29869700522886233,-0.02613207578180547,-139.48507328274073,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
ff,6,0.0,0.26724314530454674,0.22748258081359873,0.262673087432907,-16.597021354986083,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
fm,6,0.0,0.28707851301192605,0.20216174796119488,0.34394773211319896,,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,0.0,0.256990800374964,0.29097414113248804,0.21521007186530697,-6.385982806909855,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,1e-07,0.25701061400775427,0.2909354611261067,0.21522524456098036,-6.3848335329557155,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,1e-06,0.2571831628600214,0.29059908598531403,0.21535677862297484,-6.37476065699653,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,1e-05,0.2584779159553831,0.2880950725028336,0.21630818652163183,-6.29520434408468,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,0.0001,0.2613718253532704,0.2820365357584636,0.21808715291938602,-6.08027383976286,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,0.001,0.25972189800362877,0.27632065514468,0.21525187329277984,-6.1937732134917205,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,0.01,0.2407101651047072,0.2699962703007722,0.18575229857232528,-7.632761814008816,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,0.1,0.17343638837422146,0.30934589980006033,0.10337130530165498,-10.771796425030914,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,1.0,0.11025016429157929,0.30461936356415426,0.08675595169256867,-13.913178697749833,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,10.0,0.12327252814408794,0.3005878454318217,0.10745746489292997,-13.433927404169584,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,100.0,0.1315128981559197,0.31280918349481324,0.11357283912430995,-12.785738228484698,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev,11,1000.0,0.13126996250505382,0.31533818337313785,0.11429457337586547,-12.844845116241192,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,0.0,0.256990800374963,0.29097414113248654,0.21521007186536814,-6.385982806910047,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,1e-07,0.25699081331125145,0.2909731116117248,0.21520984611640728,-6.3859689715797785,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,1e-06,0.2569909248898559,0.29096385431091565,0.2152078115250672,-6.385845143329283,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,1e-05,0.25699156969512016,0.2908720975980167,0.21518718875002166,-6.384673924756843,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,0.0001,0.2569585115402454,0.2900244400339994,0.2149577930720271,-6.3786326198318894,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,0.001,0.255364659948414,0.2844281920534397,0.2119104086343813,-6.51123983991434,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,0.01,0.24170186400690974,0.2704119275870363,0.1848415480884723,-8.07562242591968,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,0.1,0.2024757597567349,0.2980132458659005,0.10754163234724218,-10.967601670081837,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,1.0,0.1823481056788181,0.2916146063843059,0.07220538415319121,-15.96295280198584,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,10.0,0.17381255020182151,0.2723588037596374,0.03525720071333959,-104.43283185623413,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,100.0,0.16156670037944637,0.27937491191619784,-0.02427267751025625,-128.6454910300234,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,1000.0,0.1590666586590268,0.28134958130999527,-0.03856273676101638,-138.11236677137546,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,10000.0,0.15877580780108627,0.2815734013162694,-0.040170476491586685,-139.34427120874207,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linlev_m,11,100000.0,0.15874620946968773,0.281596074644232,-0.04033322062791393,-139.47095713924347,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linrank,6,0.0,0.2924595283712328,0.18956737157759906,0.25627473625035946,5.417334146844848,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
linrank,6,1e-07,0.29245915283411206,0.18956780598086592,0.256280807320274,5.41720250559298,bgn_gam_estimators_bgnzr_s006_w360_summary@cc56eea+dirty
