method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
ff,6,0.0,0.09036485686770551,0.33837726187281475,0.19840834666252566,7.921753048051629
fm,6,0.0,0.0673657426503773,0.4153375681836287,0.1376910716536326,
linlev,11,0.0,0.022307469831660865,0.4772494803206835,0.1319700997585753,-5.781263878193147
linlev,11,0.001,0.025565079561219336,0.409593308949254,0.1544833555846226,-4.6577734560003385
linlev,11,0.01,0.034054279505120265,0.3167765134351553,0.15325206402126168,-2.7448911179276383
linlev,11,0.1,0.029692727409464555,0.28801829964731807,0.15016702829329118,-2.5640512735014975
linlev,11,1.0,0.020610200106946187,0.28596555426767023,0.15066236017334417,-2.9299823576099655
linrank,6,0.0,0.05582025974559809,0.40392530056049525,0.14997312284310804,-3.482981466660943
linrank,6,0.001,0.06794209477283053,0.3586018493170689,0.17714674293173782,0.17839848127026692
linrank,6,0.01,0.11326848664425271,0.2591648598521353,0.186297819674331,15.384325488582078
linrank,6,0.1,0.14393117504640207,0.22224598501649034,0.1797157292404227,19.607803382163468
linrank,6,1.0,0.145497914042626,0.25290630227687605,0.17725001185850991,19.907026017930622
rff,36,0.001,0.08648889944589597,0.5083677425365145,0.1946714431630826,6.729660741320331
rff,36,0.01,0.12702309131748266,0.26283887715331133,0.2302295638926043,14.213275052383105
rff,36,0.1,0.1598197755449348,0.20574154827605814,0.15869675664550909,25.2168262871967
rff,36,1.0,0.17490426291234382,0.21445888969209198,0.06938415991085553,28.946422630622532
rff,360,0.001,0.08860723230228772,0.5367738428956615,0.21859448640831303,7.602283669946345
rff,360,0.01,0.13143260084271416,0.2619997228877796,0.2606584144942311,13.325632732982363
rff,360,0.1,0.16021418252179834,0.20364974178747047,0.1766715357068514,25.134046308727278
rff,360,1.0,0.1751286050577694,0.21385109872839617,0.07348134782566579,29.020160130742553
rff,3600,0.001,0.0893657237365634,0.5390529202437813,0.22025361340437957,7.708629370478129
rff,3600,0.01,0.13362787606487078,0.2643952399740333,0.2662926186025075,13.21644081878427
rff,3600,0.1,0.15931664910591112,0.20258087804932648,0.18706639437123232,23.951989274607453
rff,3600,1.0,0.17516828753246103,0.21312227001339965,0.07734603859287979,29.1092551433584
rff_ens,36,0.001,0.09159757854750282,0.47246967442726906,0.204521074556284,7.776677000062065
rff_ens,36,0.01,0.1297615864266191,0.2541005563270837,0.23651682253052234,14.150931220165237
rff_ens,36,0.1,0.16122176615245773,0.2047614910193676,0.15935938528779622,25.50197341067494
rff_ens,36,1.0,0.1749810318485322,0.2144399786195971,0.06925800493378748,28.933965284790407
rff_ens,360,0.001,0.09005571804253457,0.5287197027650532,0.21994831114545565,7.867560780046549
rff_ens,360,0.01,0.1317072759421806,0.2611432591707568,0.26042760293998707,13.323211213466903
rff_ens,360,0.1,0.1603158828421406,0.2035825482728677,0.17635260016416168,25.155367790271683
rff_ens,360,1.0,0.17513490166972304,0.21384953764038522,0.07333451328964237,29.019867733293324
rff_ens,3600,0.001,0.0894784419376358,0.5383716072150276,0.21995198612317657,7.728337224160847
rff_ens,3600,0.01,0.13364674835653603,0.2643144672066958,0.2657908510487117,13.214659958135082
rff_ens,3600,0.1,0.1593272664499581,0.20257212217468676,0.18669776844733565,23.9509071264275
rff_ens,3600,1.0,0.17516918250103994,0.21312205079466254,0.07719075334322112,29.109175803468542
rff_lev,36,0.001,0.015617376842059112,0.6433386148583892,0.1869415415459952,-8.300855704132964
rff_lev,36,0.01,0.0840445847491301,0.2743105949375934,0.22574658204717646,2.618418737886873
rff_lev,36,0.1,0.16843628860471638,0.21296191679458337,0.1257298272730175,26.56572990079594
rff_lev,36,1.0,0.17488764304239238,0.21670472865424684,0.05984594922108626,29.192051043522962
rff_lev,360,0.001,0.036482802056581484,0.5734584140735821,0.21206045319302108,-6.302099642637589
rff_lev,360,0.01,0.11508082396427197,0.24384877806322458,0.23279223841486188,9.73996509905129
rff_lev,360,0.1,0.17164194883959194,0.21068920066441352,0.1251537990347585,27.300366046882726
rff_lev,360,1.0,0.17482125314680672,0.21661304012760643,0.05963902920328016,29.041412989309798
rff_lev,3600,0.001,0.05643859513131308,0.5100066722053554,0.21771212900733064,-2.8018155820280697
rff_lev,3600,0.01,0.12322030775841222,0.24039296254052242,0.24320656014514788,11.402061009003795
rff_lev,3600,0.1,0.1725187347942103,0.2100009864498579,0.129570804812439,27.77221523884139
rff_lev,3600,1.0,0.1749355416872414,0.21648837124672776,0.06030150688491936,29.040559600264952
rff_lev_ens,36,0.001,0.020293903495807526,0.5355489735056378,0.25884966772793494,-6.172304119950946
rff_lev_ens,36,0.01,0.09483654392446274,0.2521676607135711,0.24969209232402034,3.841340565501694
rff_lev_ens,36,0.1,0.17310113402688565,0.21142953466708522,0.12700406987690332,26.643279132050964
rff_lev_ens,36,1.0,0.17498118513040858,0.21667890564424727,0.0597425241333091,29.176997162164607
rff_lev_ens,360,0.001,0.03748919196996461,0.5454699558128862,0.21857255571329254,-5.581848746416866
rff_lev_ens,360,0.01,0.11807946907200112,0.24118615646492786,0.23401641097444653,10.124039617395848
rff_lev_ens,360,0.1,0.17205772461094881,0.2105601233100866,0.12504799237405834,27.318597388848396
rff_lev_ens,360,1.0,0.17482916379126887,0.21661077202653306,0.05952107953308583,29.040261306871813
rff_lev_ens,3600,0.001,0.05709707671500774,0.5066634549692565,0.21823989884764192,-2.584128410512212
rff_lev_ens,3600,0.01,0.12344341355697455,0.2401558061999703,0.242913719434961,11.42748777247968
rff_lev_ens,3600,0.1,0.17254351485552222,0.20998881671170433,0.12932702884275088,27.773588583440716
rff_lev_ens,3600,1.0,0.17493606266872713,0.2164881799673235,0.06018047582738346,29.040540957919262
