method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.05566711215995572,0.2234038547027283,0.3863183284876042,-5.409888332769807,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
ff,6,0.0,0.1177204559860361,0.5310263108410989,0.4044882418127908,-7.047983292910348,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
fm,6,0.0,0.13590101104094182,0.4621554755041422,0.4534094908017272,,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev,11,0.0,0.12878375782363383,0.4237813304157047,0.428913747346078,-3.9688389610972545,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev,11,1e-05,0.1304785614454354,0.4213292495667371,0.4325889935039716,-3.1553042039859878,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev,11,0.0001,0.13448768097118383,0.41667055815122483,0.43613904959600935,-0.907675489637912,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev,11,0.001,0.13827247089668837,0.40746149001474286,0.44558660590237215,1.7688790314928473,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev,11,0.01,0.13701309235037226,0.3730144837332997,0.43383478943978304,0.7781127068148926,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev,11,0.1,0.10491087008623204,0.2870780598349386,0.22103808534873223,-6.713091968162779,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev,11,1.0,0.052843413964225684,0.2603427383659713,-0.07096023968598708,-8.82022909317704,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev,11,10.0,0.039125756570940716,0.22838206412006826,-0.12848581125928787,-9.342294470762642,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.0,0.128783757823633,0.42378133041571403,0.42891374734590554,-3.9688389611003236,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev_m,11,1e-05,0.1291986072568711,0.42330959499162496,0.4302094814452478,-3.807954778361194,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.0001,0.13198011911698176,0.42011764437441745,0.43925829787904325,-2.5063150190120154,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.001,0.13808330889088427,0.41015305686830716,0.4640581579850956,1.6206627503982944,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.01,0.14001005851742557,0.37637648033497634,0.47329419736649303,2.9926632496117755,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev_m,11,0.1,0.11776236349040572,0.2838880508051695,0.3522430757213154,-4.969311749031673,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev_m,11,1.0,0.08182381218858405,0.23637009786763535,0.21024145232566738,-6.412626575619148,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
linlev_m,11,10.0,0.13045952089102558,0.21646236445719197,0.42413893880943526,-1.0061574209377007,bgn_gam_estimators_g0235d_s003_w360_summary@c60eee5+dirty
