method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ff,6,0.0,0.08959499034731101,0.36809482479877326,0.1830319418351756,5.626607432518539,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
fm,6,0.0,0.08174530813162477,0.3415060994380294,0.16419497382706286,,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linlev,11,0.0,0.05970234872830129,0.677550028705186,0.09907431751617556,-3.147450987592747,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linlev,11,0.001,0.05944613920204655,0.6267443479918077,0.09312399424756422,-3.137084047301621,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linlev,11,0.01,0.06208682471823247,0.4352536805498297,0.07660532151502955,-2.5035252758708126,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linlev,11,0.1,0.0555998273319043,0.29733553798447926,0.05785238579647138,-2.5342295019259256,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linlev,11,1.0,0.04333149064461019,0.27613511626654197,0.060135147273879974,-3.129241415193126,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linrank,6,0.0,0.0726407929480633,0.4701946781183502,0.15035720046732312,-5.743949652455569,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linrank,6,0.001,0.07147162533993871,0.43202535900803973,0.14960121305903495,-3.91492991383256,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linrank,6,0.01,0.07353137382558023,0.32715520804622134,0.1509338656639656,-2.9146343575851854,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linrank,6,0.1,0.07536854287955434,0.20400816593536938,0.13762026218123313,-2.2066419836894258,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
linrank,6,1.0,0.07542094688461765,0.20924650467144795,0.12853169684255866,-2.1751135320781168,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
rff,36,0.001,0.08242896307607529,0.4590518801250448,0.16775896587727787,0.3921384724664603,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
rff,36,0.01,0.09753277840699856,0.30192969542534753,0.19559295938576887,8.781033000639646,bgn_gam_estimators_g0235f_s005_w360_summary@c3d60c8+dirty
