method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ff,6,0.0,0.020029436931697682,0.14024572808989036,-0.4127084963392971,15.962560092527283,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
fm,6,0.0,0.005826960793925938,0.3354421639327728,-0.08444594636610384,,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linlev,11,0.0,0.0017479803554833473,0.32121704393363243,-0.14441558428466864,-2.4428019715585845,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linlev,11,0.001,-0.005619352590094743,0.2019501754336298,-0.13867498854427168,-4.697250267221647,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linlev,11,0.01,-0.01660246080641587,0.1633005414628414,-0.07225058242879907,-6.688446044713106,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linlev,11,0.1,-0.018813450155319895,0.1621570317141416,-0.040643047904172266,-6.848762663431138,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linlev,11,1.0,-0.017705520474424783,0.13840349428435372,-0.03962428747829879,-6.444180795379789,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linrank,6,0.0,0.018353898667191695,0.28338523370139307,-0.24976697889821603,33.170189611185066,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linrank,6,0.001,0.010324335644807633,0.18485458525593101,-0.23954167253014305,18.600215080668036,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linrank,6,0.01,0.009128598808276737,0.089240242238316,-0.23296263379727525,12.329878485126393,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linrank,6,0.1,0.008995939553610206,0.053767762350547525,-0.2286986361173853,10.847115740579797,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
linrank,6,1.0,0.008976407537015563,0.05401806815241502,-0.22817579489250733,10.66345291066815,bgn_gam_estimators_g0235r_s004_w360_summary@c3d60c8+dirty
