month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd,prov
774,ff,6,0.0,0,0.009089137565160164,0.24378853824428873,0.03728287486613656,0.041507284531874,0.04693513164324803,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,fm,6,0.0,0,0.008935086321709747,0.27110933939553533,0.03295750099067554,-0.21406919445845404,0.061307880004244,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,0.0,0,0.009000517999697165,0.20568619463581767,0.04375849344499389,-0.19487749232759885,0.029984726961235175,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,1e-07,0,0.008996091546636048,0.20562377075286384,0.04375025082799555,-0.1947819298507855,0.029967824641072664,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,1e-06,0,0.008956466477450431,0.20506644592985687,0.043675923854037034,-0.19392678729283724,0.02981747555576708,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,1e-05,0,0.00858018677042843,0.19990942528875258,0.04292037135335196,-0.18583594746717114,0.02847496735604115,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,0.0001,0,0.006102089259319027,0.1725069288574247,0.0353730096508897,-0.13417707021765024,0.02318964045111442,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,0.001,0,0.001637113951400232,0.13444291009300136,0.01217701960086815,-0.05039523889215082,0.02040129128616748,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,0.01,0,0.00016565701256281295,0.04700059808558881,0.0035245724375921553,-0.011724643728494692,0.007475712610126413,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,0.1,0,1.4729365535470044e-05,0.00621302736366142,0.00237072278509809,-0.0014363625718006557,0.005607086167508047,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,1.0,0,1.4443068915303798e-06,0.0006419509817471606,0.002249870991083297,-0.00014710987508265784,0.005595466461969101,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,10.0,0,1.441299001796063e-07,6.440916086354541e-05,0.0022377236133374564,-1.4746837248588021e-05,0.005597658861363591,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,100.0,0,1.4409967046922906e-08,6.443064577479014e-06,0.0022365082444294098,-1.4750433734050424e-06,0.005597914194182364,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,linrank,6,1000.0,0,1.4409664598394122e-09,6.443279505528563e-07,0.002236386701217931,-1.475079349809991e-07,0.005597940091085417,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
774,mkt_est,1,0.0,0,0.009529890015279683,0.14960335663816093,0.06370104407703371,-0.08787328483609393,0.00901014606315189,bgn_gam_estimators_g0235r_s005_w360_summary@de109da+dirty
