method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.042233587270177134,0.05327924414146455,0.07285246604188574,42.3802547479139,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
ff,6,0.0,0.016601193960717815,0.23206204955282478,-0.0415223775949751,-20.679021566603165,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
fm,6,0.0,0.025907878506108633,0.20497157648164757,-0.03613451720302382,,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev,11,0.0,-0.005924397789170234,0.46310791801971957,-0.09347035135716497,-24.875123971751044,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev,11,1e-05,-0.006788923403341225,0.4474440540194967,-0.09492697219758986,-25.847050087774136,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev,11,0.0001,-0.010771363840494983,0.39040226346315177,-0.10001533991723761,-29.45134158278159,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev,11,0.001,-0.015204495438171648,0.2991005269017374,-0.09352080114921411,-24.949832583232666,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev,11,0.01,-0.017334601765417956,0.2445749371635251,-0.06241559800422545,-15.888022103154505,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev,11,0.1,-0.017790617427400193,0.2245522209330428,-0.04588424626786149,-13.247902158875476,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev,11,1.0,-0.015576617473067374,0.15392004337979867,-0.023989756090410985,-12.030956565060208,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev,11,10.0,-0.007916455277477263,0.08844923319445294,0.024096936795597348,-9.097607010861148,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,0.0,-0.005924397789157176,0.4631079180177304,-0.0934703513599196,-24.87512397166906,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,1e-05,-0.005879357737083,0.4537401724708225,-0.0958130197629398,-24.53383347508682,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,0.0001,-0.005416291777295837,0.3998440317371743,-0.10952351394598156,-22.188307736310758,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,0.001,-0.0009933383977190847,0.28937301862822906,-0.12954941958599808,-13.745162985790046,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,0.01,0.011996554651852412,0.236136878995568,-0.1053482855659244,-4.632250096809319,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,0.1,0.015964172735007262,0.2132666413678046,-0.08669608470378085,-3.0046613812918905,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,1.0,0.017864969163191066,0.12032815287358785,-0.049974063226864686,-2.4988624683717147,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,10.0,0.04225382746411364,0.08335790550001217,0.024543946471861987,42.3680699147659,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,100.0,0.04223532250822105,0.10498964663790024,0.04392362588070662,42.37605600538492,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linlev_m,11,1000.0,0.0422337091059436,0.11142556359002687,0.046885894905837465,42.37943946090332,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank,6,0.0,0.014235065400641345,0.28286214752012667,0.02365948801490915,-20.807540365781385,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank,6,1e-05,0.013877904078543309,0.2778168836764776,0.02111434586883167,-21.590435165759448,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank,6,0.0001,0.011199364205363051,0.2498727123642201,0.004045884356229211,-27.314027172272837,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank,6,0.001,0.002994573975955749,0.18138139565127356,-0.0347043983110585,-45.040534493430314,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank,6,0.01,-0.00023195637701650806,0.07556440556086635,-0.0818399134031692,-54.25095141844666,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank,6,0.1,0.0001427066230723788,0.050144650899572416,-0.10893107915835645,-55.086395675516805,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank,6,1.0,0.00024438742097088433,0.04957938657787931,-0.11239347377287333,-55.16257575368734,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank,6,10.0,0.00025557845720360973,0.04958716801688476,-0.11274151047782302,-55.17009053292699,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,0.0,0.014235065400641346,0.2828621475201268,0.02365948801490867,-20.807540365781346,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,1e-05,0.014404518951925935,0.2796318066046641,0.02342066755429925,-20.731694693231294,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,0.0001,0.015776076524299125,0.25707360726189593,0.02159097460699566,-19.910135249061753,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,0.001,0.023709389803158756,0.1836568208548139,0.01694308272943462,-6.261347716387891,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,0.01,0.04007395144727336,0.11503083432240709,0.028828895904687252,30.931274631275887,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,0.1,0.042192447201174786,0.11191765749231113,0.04383517914811504,40.895071370372754,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,1.0,0.04223311776763928,0.11247152835192042,0.04683463678478301,42.241049094725795,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,10.0,0.042233583148783095,0.11254348634605986,0.04716407753537661,42.36646381599671,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,100.0,0.04223358729417846,0.11255087039605884,0.04719734426052041,42.37887699028609,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
linrank_m,6,1000.0,0.042233587276946705,0.11255161072842358,0.04720067414190358,42.38011698554629,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
mkt_est,1,0.0,0.042233587270177134,0.11255169299033531,0.047201044210770524,42.38025474791389,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
rff,36,1e-05,-0.0028064752305004674,0.7984963905477005,-0.029070554096893658,-74.94557959547079,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
rff,36,0.0001,0.003693156090016418,0.47522855686020093,-0.0008422556791751322,-56.59426818619632,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
rff,36,0.001,0.022231815332611697,0.18604958357048557,-0.0018629908028657376,-11.261640970738751,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
rff,36,0.01,0.04104765313455308,0.11053958788747625,0.027483961688984978,34.53912082536291,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
rff,36,0.1,0.042289228381383444,0.11142545340078937,0.044322039384121485,41.648233945259335,bgn_gam_estimators_g0235s_s004_w360_summary@c60eee5+dirty
