model,tag,N,T,window,n_seeds,seeds,spec_id,solves,sr_max_mean,sr_max_sd,sr_max_se,sr_max_n,sr_max_eval_mean,sr_max_eval_sd,sr_max_eval_se,sr_max_eval_n,room_all_mean,room_all_sd,room_all_se,room_all_n,room_eval_mean,room_eval_sd,room_eval_se,room_eval_n,dkkm_mean,dkkm_sd,dkkm_se,dkkm_n,lin_mean,lin_sd,lin_se,lin_n,gap_mean,gap_sd,gap_se,gap_n,t_mean,t_sd,t_se,t_n,room_all_pct_lin_mean,room_all_pct_lin_sd,room_all_pct_lin_se,room_all_pct_lin_n,room_eval_pct_lin_mean,room_eval_pct_lin_sd,room_eval_pct_lin_se,room_eval_pct_lin_n,gap_pct_lin_mean,gap_pct_lin_sd,gap_pct_lin_se,gap_pct_lin_n,fm_mean,fm_sd,fm_se,fm_n,gap_fm_mean,gap_fm_sd,gap_fm_se,gap_fm_n,room_all_pct_fm_mean,room_all_pct_fm_sd,room_all_pct_fm_se,room_all_pct_fm_n,room_eval_pct_fm_mean,room_eval_pct_fm_sd,room_eval_pct_fm_se,room_eval_pct_fm_n,gap_fm_pct_fm_mean,gap_fm_pct_fm_sd,gap_fm_pct_fm_se,gap_fm_pct_fm_n,fair_lin_mean,fair_lin_sd,fair_lin_se,fair_lin_n,fair_gap_mean,fair_gap_sd,fair_gap_se,fair_gap_n,ew_mean,ew_sd,ew_se,ew_n,gap_over_room_all,gap_over_room_eval,room_all_over_lin,room_eval_over_lin,gap_over_lin,gap_fm_over_fm,room_all_over_fm,room_eval_over_fm
bgn_gam,bgnbase,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-bgn_gam-bgnbase-v3,cb6340649eace098,0.30120748267858094,0.008735708087880462,0.002762473453205661,10,0.3013212327216185,0.014930416725157629,0.00472141232669703,10,0.02514173236364704,0.005054006161387242,0.0015982170778508218,10,0.027395329499030386,0.010872811439358445,0.003438284871790641,10,0.23815066282586184,0.02668582849558946,0.00843879992946873,10,0.23180789896464615,0.03250728216971894,0.010279705219809207,10,0.006342763861215658,0.01479439325254076,0.0046783979278255455,10,13.588890587711617,21.180196837061086,6.697766329580723,10,11.179245229638783,3.4218250986985246,1.0820761066617803,10,12.412063582947141,6.251176411583169,1.976795551612099,10,3.3011892790810364,7.373507829588699,2.3317079086584975,10,0.21329081526758942,0.05216621793911111,0.0164964065604326,10,0.024859847558272384,0.03869776570142294,0.01223730799760399,10,13.021032854296834,6.152158966939665,1.9454834862957877,10,14.82792703068893,10.072006651142951,3.1850481625976683,10,17.14315100769784,28.54940637530229,9.028114999168713,10,0.2382250257754439,0.027163662485912066,0.008589904304755359,10,-7.436294958210743e-05,0.00613948528773251,0.0019414757170328949,10,0.1618369402247912,0.014498170080373353,0.004584723935848625,10,0.2522803031022156,0.23152719741663083,10.845934274000513,11.818117338274371,2.736215586071558,11.65537649949147,11.787536341921165,12.844120579998195
bgn_gam,bgnzr,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-bgn_gam-bgnzr-v1,550412fe21ce97a3,0.31680255194046225,0.007108819080199727,0.002248005976749432,10,0.3170722994071508,0.012642404178224141,0.003997879230361758,10,0.0269207600794219,0.009676531432071051,0.003059987917555542,10,0.029222930026692323,0.01732528381541064,0.0054787357965549845,10,0.257323639780931,0.02689149922004228,0.008503838723197508,10,0.25158303304924334,0.03765352789053363,0.01190709100747615,10,0.005740606731687603,0.020384002732327582,0.006445987646525072,10,14.963543773039685,28.01134264254991,8.857964306985746,10,11.26410761899366,5.5405541473609885,1.7520770605152916,10,12.59424349003586,9.121171836790888,2.8843677934040803,10,3.3758901393847838,10.654955787458631,3.369392865676221,10,0.2291042133465281,0.06527278848507215,0.020641068084323946,10,0.028219426434402856,0.04947002382571219,0.01564379511920471,10,14.362713028330344,11.085445106223547,3.505525541243361,10,16.644217060253425,16.099082775078582,5.090976980883255,10,23.458393888721922,47.03345499227286,14.873284400259939,10,0.25925915170913433,0.02607105623010702,0.008244391869346107,10,-0.001935511928203304,0.006743632456136247,0.002132523826442607,10,0.1767327349475018,0.014710757179201563,0.004651949879195071,10,0.21324088602073665,0.19644186008877665,10.700546755135349,11.61562036696346,2.2817940709713804,12.317288286496934,11.750443034717705,12.75530013168794
bgn_gam,g0235,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-bgn_gam-g0235-v4,84dca1cf8d88d200,0.1738381549873355,0.03213377922403658,0.010161593217695367,10,0.1799801430625937,0.06487364483486012,0.02051484777949759,10,0.028088779881738368,0.006933344351573767,0.0021925159953236338,10,0.02763787304371188,0.015349076320163533,0.004853804115147261,10,0.13831312200724705,0.0438819321193575,0.013876685362606948,10,0.11771156109646978,0.04274155356038264,0.013516065998488827,10,0.020601560910777264,0.007608023868537889,0.0024058683917505177,10,27.7702877220705,22.88650610542875,7.2373486976504555,10,26.581204981657738,9.929707566592683,3.1400492409840957,10,21.558283768018704,7.1315000656909255,2.255178334122374,10,20.689158457145737,13.939181825558796,4.407956328798966,10,0.10272067267645357,0.041656717773745695,0.013173010801185507,10,0.035592449330793474,0.012543040620648609,0.003966457714526162,10,31.49950637035343,12.75684452431017,4.034068445346736,10,24.95330821172803,7.700087495347287,2.4349814667878613,10,43.68673120250749,34.974847145425116,11.060017779578166,10,0.13580107724839705,0.042210014547747074,0.013347978603972285,10,0.002512044758849989,0.0029532237199174876,0.0009338913394974429,10,0.1349939995259219,0.04186029971259014,0.013237389062907664,10,0.7334444926947915,0.7454105052944547,23.862379888682625,23.479319096839973,17.501731111945226,34.649743234160354,27.34481691938637,26.905852856673558
bgn_gam,g0235d,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-bgn_gam-g0235d-v3,5a2570930e85cebc,0.35731828288872836,0.04310659040001962,0.013631500782801077,10,0.3435163305612726,0.10074612917275377,0.03185872336314371,10,0.03069760010861123,0.004666372616809518,0.0014756365880158199,10,0.031131029694611578,0.004106992792933578,0.0012987451559566391,10,0.30846116840311866,0.10165072921487077,0.0321447830136011,10,0.30477707122380854,0.10769030295757621,0.0340546639259508,10,0.003684097179310139,0.008463091361183932,0.002676264474743595,10,22.172922913266753,7.490058697380389,2.3685645292075876,10,11.611644099923893,5.080160504138206,1.606487807230598,10,11.8938362995961,5.615656694067113,1.7758265710823444,10,2.3140769755125516,4.419294734646103,1.3975037013071117,10,0.2466904494621694,0.08582786953773784,0.027141155445903453,10,0.061770718940949244,0.038854561324337136,0.012286891127159364,10,14.313305842833376,6.387316324688989,2.0198467721992786,10,14.579510173589483,6.415559095168438,2.028777920414121,10,27.11044133297933,17.890669988355747,5.657526602962225,10,0.3059522186851374,0.1061750054679218,0.03357548478594646,10,0.0025089497179812794,0.00723265094061841,0.002287165049331341,10,0.08943819100842264,0.022356580633232488,0.007069771549422414,10,0.12001254711363198,0.11834164226015993,10.072148795625411,10.214360801357975,1.208784231870506,25.0397691015687,12.443773228974877,12.619470985797363
bgn_gam,g0235f,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-bgn_gam-g0235f-v3,8130b53f477952d5,0.23739888563573291,0.02232108406514736,0.007058546548995589,10,0.2374538913335688,0.04796379857272743,0.015167484872335194,10,0.04625589443915547,0.005705118685660471,0.0018041169368273292,10,0.0446958162908608,0.011779781859635598,0.0037250941016382377,10,0.16903129771747955,0.03793054735279636,0.011994692253170677,10,0.15365742455907022,0.03566784908131967,0.011279164233611442,10,0.015373873158409304,0.008546913957899072,0.0027027715072445537,10,14.861201828745857,7.6874939906378605,2.430999050927277,10,31.34039739036308,7.217690685902648,2.282434201403533,10,29.332307754667692,5.7240895609019855,1.8101160543243375,10,10.42499679024628,5.5284454736123605,1.7482479616663362,10,0.1405536467918399,0.02975686973140715,0.009409948438816946,10,0.02847765092563963,0.0225345977340938,0.00712606549954058,10,34.291169499089584,8.355994184183592,2.642397373714067,10,32.09854433988047,6.337021224345483,2.003942064976059,10,21.39134539634902,15.531858618271896,4.911604952945493,10,0.16113241660999528,0.035658537141190445,0.011276219539587096,10,0.007898881107484249,0.005228535095967389,0.0016534079729384006,10,0.14647377021738733,0.02189728205589668,0.006924528586376799,10,0.3323657091666867,0.3439667162215557,30.103260269973745,29.087963968625854,10.005291447859166,20.261054462581864,32.90977893135743,31.799826835553652
bgn_gam,g0235r,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-bgn_gam-g0235r-v3,a7dc8450ba64971e,0.08808157024191805,0.013282208407039132,0.004200203092328048,10,0.07565396283066007,0.0029405121490017365,0.0009298715878241903,10,0.0059460866590096,0.005061986809843756,0.0016007407804835912,10,0.004694551914279036,0.0028266730434528447,0.0008938725017911093,10,0.057992172764385244,0.015953952495684483,0.00504508275684906,10,0.041110003215671195,0.014426769655380816,0.004562145138960582,10,0.01688216954871406,0.013921441787334501,0.004402346436142244,10,28.441116359452216,21.45483987868408,6.784616085085232,10,14.316614556777548,9.51700822780428,3.009542251042413,10,12.299747984509294,6.2279474693222605,1.9694499150939977,10,51.962823898997215,52.73894224947592,16.677517889642797,10,0.027561406314296162,0.02361384868870357,0.007467354617888367,10,0.030430766450089086,0.01407892584686205,0.004452147268469904,10,17.421284145046283,10.810574682342864,3.8221153332041227,8,15.029029023400486,6.649034606952796,2.3507887294601764,8,97.1501528807608,75.32439021586993,26.631193555191626,8,0.058483636817024696,0.014539066625198343,0.004597656558856439,10,-0.0004914640526394509,0.0027353636634249805,0.0008649979405285154,10,0.0637175208959175,0.0029461526522255787,0.0009316552715578768,10,2.8392067786522994,3.59611947145902,14.46384381877874,11.419488073621618,41.06584341564476,110.41079001220841,21.57395958393223,17.033063773106388
bgn_gam,g0235s,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-bgn_gam-g0235s-v3,685c6edd1b7cbc48,0.15093756362081262,0.07441055432079485,0.02353068336093952,10,0.09124878315987854,0.06698450579944674,0.021182360626700966,10,0.023248279246197733,0.018691100922241903,0.005910645089035816,10,0.006962476228247592,0.00732151446375896,0.002315266162734463,10,0.0712972991008529,0.03522205928120776,0.011138193121008961,10,0.054841436951704035,0.05704394642821367,0.01803887974377819,10,0.01645586214914886,0.02475440884018422,0.007828031406598919,10,49.50945636471343,47.815059748522465,15.120449526236888,10,84.88413745635684,101.70019331332412,32.16042493495304,10,15.536603983539806,13.69883990787704,4.331953541090262,10,84.4677964210009,100.44855232809482,31.764621302338867,10,0.03762936635528251,0.03480588960410258,0.011006588713734042,10,0.033667932745570395,0.02426220836326576,0.0076723839493505735,10,49.60778852823817,47.14472803550197,16.66817844554949,8,19.087310471992417,16.728766543448092,5.914512131879393,8,80.60436462314735,100.8143489113198,35.64325487805043,8,0.07512965348374259,0.049654767214552385,0.015702216108344026,10,-0.0038323543828896875,0.014540745950991835,0.004598187608300529,10,0.07456118195413322,0.0498346103498178,0.015759087501242473,10,0.7078314044184679,2.363507121559062,42.391812721229876,12.695648792680394,30.006256334312816,89.47249450785398,61.78227671094992,18.502772973933382
gs_bx,bx7,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-gs_bx-bx7-v5,"63fa7ebbc2db49ea,649bb384300faadf,a3bb50b66287307c,645262a8e72d944c,0818d7153d5708cc",0.30436123109059476,0.03314677998086124,0.010481932183999395,10,0.3270112433757911,0.0675612094099082,0.021364730321091038,10,0.007375651712847331,0.002731026992465715,0.0008636265647591168,10,0.007349793000946306,0.005003156217646868,0.0015821369137397217,10,0.30911610028203756,0.06074984905631534,0.01921078905293871,10,0.2930437843301492,0.062197213076902284,0.019668485743782067,10,0.016072315951888363,0.013605016853519338,0.004302284086209849,10,17.16527101074063,11.037867229875065,3.490480095693855,10,2.546490854562589,0.8050879784437025,0.2545911728702642,10,2.354679742415131,1.3313043553445805,0.42099540217910325,10,5.9566129205828275,5.314204015654735,1.6804988640282061,10,0.2822314929519934,0.062109245672601635,0.019640668008037772,10,0.026884607330044212,0.026712808966295867,0.0084473319034463,10,2.652336980060692,0.8377201710497197,0.2649103782382962,10,2.4368029871241577,1.3159137570773118,0.41612846767138223,10,10.504801921648419,10.979267925850372,3.471949368691985,10,0.31085713753965083,0.06179014223601751,0.019539758641158478,10,-0.0017410372576132037,0.0019505456861451886,0.0006168167048434733,10,0.3061293408196198,0.060274590834280384,0.01906049920710346,10,2.1791045154549105,2.186771239655186,2.51691116046255,2.5080869801578443,5.484612474762801,9.525729056259923,2.613334052731636,2.6041718179893127
gs_bx,g28,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-gs_bx-g28-v4,8b584c38614695ac,0.2789718204902185,0.049045396056808487,0.01550951602845558,10,0.3143591320847683,0.059130986048201224,0.018698859620395483,10,0.00034210575761493557,0.0005499916076605468,0.0001739226174185039,10,0.0005849127232239876,0.000500344758193375,0.00015822290512172593,10,0.3028439809425849,0.055078751965446336,0.017417430689028617,10,0.2694476384085909,0.05425898052347224,0.017158196197288745,10,0.03339634253399412,0.026090172279304154,0.008250436894878786,10,27.573421198398883,13.58615483902677,4.296319393504287,10,0.10078351343061495,0.18150775621421256,0.05739779226234926,10,0.1913949997020171,0.1657034121412665,0.05240001984280008,10,13.061196593776842,10.503087600598706,3.321367928216479,10,0.2544130342555514,0.05551692989976391,0.017555994718315735,10,0.04843094668703358,0.04153629139905134,0.013134928637746403,10,0.10835118684912634,0.191973387077673,0.060707315330258235,10,0.20928004528377486,0.18169520357890964,0.05745706832373317,10,20.99883553405596,20.78215829151481,6.571895489534033,10,0.3052906199242672,0.05573762710059481,0.01762578530110066,10,-0.0024466389816822755,0.001794560972013451,0.0005674900071608188,10,0.2977938672847277,0.05261222976484863,0.01663744788370267,10,97.6199370826845,57.09628327097488,0.1269655802646768,0.21707843745767957,12.394371957104278,19.036346478374977,0.13446864411486836,0.22990674394318086
gs_bx,gsbase,500,500,360,10,"0,1,2,3,4,5,6,7,8,9",var-gs_bx-gsbase-v3,c6ae2d52428a7ce5,0.29760657890098835,0.010414701611028265,0.003293417824187431,10,0.2926329635049819,0.013186766133624033,0.004170021595422423,10,0.0012487454862794456,7.096182620715208e-05,2.2440099773962802e-05,10,0.001155595189229691,0.00011343287372118346,3.587062424971993e-05,10,0.28346021927912834,0.012988077237415617,0.004107190649642084,10,0.26888058018377964,0.017958937726310704,0.005679114757226745,10,0.014579639095348675,0.007913456694377876,0.0025024547319341065,10,24.427031649977064,17.648588333894896,5.58097366217841,10,0.466625681430816,0.04447690667425612,0.0140648328369394,10,0.4324591076965521,0.05990933600179284,0.018944995487399068,10,5.577320517316858,3.1757753230662207,1.0042683357846327,10,0.26499124564600623,0.020058031037057375,0.006342906345545052,10,0.018468973633122124,0.010618965790705369,0.0033580118294039836,10,0.4739471123703468,0.04712316939208078,0.014901654584490737,10,0.43976299630599536,0.06671406546026533,0.021096839882400794,10,7.224896918091512,4.393051596756937,1.389204892439149,10,0.28623204885335385,0.013240420352421846,0.0041869885491702345,10,-0.0027718295742254926,0.0018734411729258984,0.0005924341168783213,10,0.2784677157917783,0.013752713153922678,0.00434898975733535,10,11.675428864842381,12.616562643417828,0.4644238291311069,0.4297800861779764,5.422347380157952,6.96965425710488,0.4712402793666651,0.4360880626122327
