model,variant,SR_max,lin_ceil,nl_ceil,room,FMR,FF,lin,RFF,gap_RFF-lin,t_vs_FMR
BGN,baseline,0.2926449433091425,0.2346732705250239,0.2711594898719345,0.0364862193469105,0.2197661746329787,0.2201764268011541,0.2333813786869419,0.2392569374164523,0.0058755587295103,14.007678992225737
BGN,crash,0.3683664515412791,0.2627233298677992,0.3285277879179037,0.0658044580501044,0.2482545178913427,0.2415771199452922,0.2546513220040536,0.2599832040451561,0.0053318820411025,8.932455365295723
BGN,regime-g,0.2450497543300506,0.1955563204270897,0.2169264096510296,0.0213700892239399,0.2164279427020741,0.2189645878271004,0.2199847126090859,0.2418767154671829,0.021892002858097,21.522732674079936
BGN,regime-g wide,0.2121944389641842,0.1542661426890018,0.1796934258285182,0.0254272831395163,0.105239894544284,0.1315725354102601,0.1744616206237873,0.1984714507250376,0.0240098301012502,31.67276893879778
KP,baseline,0.2396177255291423,0.2225978217902374,0.2263054653282818,0.0037076435380443,0.2052435245721245,0.1926421040772017,0.1968873025669739,0.2005246857225434,0.0036373831555694,-8.521358384545877
KP,crash,0.3501414633107325,0.3277868895318069,0.3336024846408646,0.0058155951090577,0.3007318305304302,0.2953582130310255,0.3039185979764888,0.2975248926962616,-0.0063937052802272,-2.1347213588864604
KP,regime-g,0.250947026700919,0.2217417372659605,0.2232823944672128,0.0015406572012523,0.1624971958886369,0.1707805445014819,0.1682548907862677,0.1749717149224474,0.0067168241361796,5.124594571926351
GS,baseline,0.4011672037186063,0.399550571019955,0.4005998583091442,0.0010492872891892,0.378520931822595,0.3715760591110675,0.3825383603538805,0.3987919382965892,0.0162535779427087,21.820695279618235
GS,crash,0.4134233839587583,0.4057636424768657,0.4122751531910753,0.0065115107142096,0.3805130631792924,0.3733330386985705,0.3797970693689025,0.3883540691784674,0.0085569998095648,5.054533819094187
GS,gamma(x),0.3604977508766891,0.3588058891346374,0.3583854128664749,-0.0004204762681625,0.3162945879530055,0.3239479050356987,0.3197503182136805,0.358079986889338,0.0383296686756575,17.92451112313196
BGN,gamma(r) nonlin,0.5566768613896587,0.4392101298095959,0.5326448729566664,0.0934347431470704,0.4697801897276737,0.4150581418173273,0.4584038411581797,0.4643697058800507,0.0059658647218709,-2.6833979589871295
GS,gamma(x) nonlin,0.3979986642374948,0.3954969849209439,0.3950058978379417,-0.0004910870830021,0.3490234464008104,0.35767684784622,0.3511326060555419,0.3916894444532564,0.0405568383977144,14.053229324474197
KP,gamma(y) common,0.3657272945742748,0.3404526090217086,0.3437483237782333,0.0032957147565247,0.2788622792327486,0.2766144703519655,0.2739306113856559,0.2813492199761638,0.0074186085905079,3.049470194536278
KP,gamma(y) rotation,0.4300969430628008,0.4141345432107322,0.4176399640543538,0.0035054208436215,0.3634085047724382,0.3454655370151073,0.3643993476816265,0.3666443416408312,0.0022449939592046,4.734755598155505
KP,regime uneven,0.2941226903157696,0.2675985958420044,0.2700903031132479,0.0024917072712434,0.207252045033287,0.2122063427575118,0.2075523834200544,0.2260700787202717,0.0185176953002173,9.616719409966588
GS,regime-g,0.2167335484468557,0.215861787109518,0.2159204706539665,5.8683544448517866e-05,0.1753501576690034,0.1727542441163332,0.1760916004774309,0.1948347841366278,0.0187431836591969,19.880079016886352
KP,exposure-types x regime,0.2768819037518111,0.2394146343640208,0.2580941276221579,0.0186794932581371,0.1809047814981866,0.0975457758123192,0.1753502899803655,0.1769522673499174,0.0016019773695518,-1.8239379253903525
GS,exposure-types x regime,0.2619526952294413,0.2512246404491086,0.2550779971460269,0.0038533566969183,0.2132470229423955,0.2147201048226968,0.2185106670301823,0.2225198690631823,0.004009202033,10.78895850569168
GS,exposure-types comp.,0.2708250257365746,0.2554903205364623,0.2619046538288476,0.0064143332923852,0.2086181838812497,0.2245537627863333,0.2235335940986725,0.2257475366497142,0.0022139425510417,16.75356404920559
KP,priced-vol exposures (vy),0.9608773449056806,0.5392151250539609,0.8174862562284813,0.2782711311745204,0.5448986908546309,0.45605960273786,0.5417129502158761,0.5706576041682037,0.0289446539523275,5.18326185620934
GS,exposure-types wide (bx7),0.2989286581126623,0.2739047029520213,0.2920884231322297,0.0181837201802083,0.2213462414449939,0.2290612238210095,0.2355676413532739,0.2368987872115804,0.0013311458583064,10.446508565548893
BGN,regime-g extreme (g0235),0.1859500600381938,0.1351606914149408,0.1584490887927846,0.0232883973778438,0.0673657426503773,0.0903648568677055,0.145497914042626,0.1751691825010399,0.0296712684584139,29.109175803468545
KP,priced-vol extreme (vyx),1.2606732069063409,0.7425929743612978,1.0921566539479466,0.3495636795866488,0.7408015545124442,0.6470108495345773,0.7475352995906872,0.8484250537647645,0.1008897541740773,21.589000167201473
GS,exposure-types extreme (bx9),0.323435912401572,0.2569683254597307,0.310929588176601,0.0539612627168702,0.1870954457836175,0.2024044218368605,0.2097125068262536,0.2089667910182114,-0.0007457158080421,5.0767771060671185
