method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.39251863821388616,0.36070972780930294,0.35858378182483386,18.975926158128015,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
ff,6,0.0,0.2788000015580533,0.2956712228791852,0.1748113528351672,-7.858718705311978,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
fm,6,0.0,0.3205141675202313,0.2706533202782817,0.10359165294259873,,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,0.0,0.3571138831835057,0.31173437836790124,0.35512500847727224,7.23942136726156,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,1e-07,0.3571867852075547,0.3113288945849827,0.3559165136716823,7.269283775087989,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,1e-06,0.3577561489547139,0.30823636777093566,0.36215317126076424,7.505262141707259,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,1e-05,0.35983719205781733,0.29768739173462655,0.3889277021944925,8.41786333123013,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,0.0001,0.3597505362905979,0.2953260985613575,0.4120659835574708,8.188476140449136,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,0.001,0.3613939107258805,0.2890677969101149,0.4249844856805774,8.215981889444175,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,0.01,0.3624385838517534,0.25405290901215344,0.44370119402506936,7.829121943773707,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,0.1,0.3536109766748136,0.18298121467553025,0.4650410752732085,5.239136478241883,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,1.0,0.34622995449141936,0.17902873374134728,0.46294081672279996,4.696480995154731,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,10.0,0.3489151814812986,0.23588389107166918,0.45903361097365275,7.386078456430039,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,100.0,0.3485864165765133,0.3528973074853963,0.4625814000994718,6.89471060434279,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev,11,1000.0,0.3483395691840492,0.3894556118130925,0.46309330283981165,6.727805741303487,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,0.0,0.35711388318411685,0.31173437836710405,0.3551250084717668,7.239421367417109,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,1e-07,0.3571890657473308,0.311441822288324,0.3557669914327259,7.270571873787629,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,1e-06,0.3577909240730191,0.3091332546420853,0.36088910172795574,7.52403932736512,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,1e-05,0.36043853707226653,0.29961405804425173,0.38298864114320286,8.717515663633959,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,0.0001,0.3628277281119737,0.29218374806043995,0.39981935413291503,9.779300243392091,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,0.001,0.3665505322192996,0.2821182147973325,0.41232442360236987,10.871087725538592,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,0.01,0.37171654250244673,0.24351762517747783,0.43286756274150495,12.251571259659896,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,0.1,0.37942653828088296,0.16726392490741174,0.4699975562693047,16.144517386677627,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,1.0,0.3880653826150403,0.1576843505191386,0.47402313822079073,17.74056090397918,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,10.0,0.38418187376887725,0.18398921440014437,0.4330929469584503,15.78817412339277,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,100.0,0.3904971314870208,0.21743415386011006,0.3749957209190471,18.199702370027474,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,1000.0,0.3922923070110654,0.22634817555700132,0.35638813129387614,18.88891386058071,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,10000.0,0.39249575598067604,0.2273776017997145,0.354149496170799,18.967127581917417,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linlev_m,11,100000.0,0.39251634750150094,0.22748211950435482,0.3539211260002278,18.975045326519123,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,0.0,0.34129676543359944,0.25573273498725274,0.1373927846867208,10.675392945992643,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,1e-07,0.3412423814597443,0.2557709046707492,0.13737989964238592,10.649896541695963,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,1e-06,0.34075239796108797,0.25611283023406345,0.1372633953824402,10.418477359447973,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,1e-05,0.33584869773705545,0.2593717886048256,0.13606573586736193,7.972114494702127,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,0.0001,0.2998936421674949,0.2796623724886885,0.12678457993811196,-8.392072333462739,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,0.001,0.25501027259004644,0.30399523406368106,0.11776703841468218,-16.874575644480753,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,0.01,0.25108541342782903,0.306473127510056,0.12639230282694916,-16.42655881441835,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,0.1,0.25872062794059303,0.31209732939839224,0.15157403815001477,-15.222555250199488,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,1.0,0.27598387061063273,0.3555773666412527,0.2084354775644138,-11.253371975790834,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,10.0,0.27922131343918416,0.3882090123617836,0.22807385737496655,-9.66673033408986,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,100.0,0.27924140843545353,0.39367064987209655,0.2299587599843057,-9.50722835140583,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank,6,1000.0,0.27923656439612454,0.3942555760917742,0.23013951578782535,-9.491695034288865,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,0.0,0.3412967654335997,0.2557327349872526,0.13739278468672095,10.675392945992874,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,1e-07,0.34129779269296573,0.25573216872205173,0.13739407851727212,10.676055201925545,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,1e-06,0.34130703407211277,0.25572707477283746,0.13740571894227616,10.682012920496526,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,1e-05,0.34139905783942176,0.255676375527303,0.13752172364934692,10.741334643206626,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,0.0001,0.3422817735180436,0.255192377301629,0.13864317236968957,11.309464570240468,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,0.001,0.3484386141097968,0.25193090272213037,0.14701164337345865,15.026304413137728,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,0.01,0.3612342666189544,0.2460531576988473,0.17010828887601886,19.872796921642628,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,0.1,0.38312003848848997,0.23969469333717588,0.219964304830826,24.090679984590317,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,1.0,0.40188142387452735,0.23063043310375173,0.3175176132920623,23.4192476018777,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,10.0,0.39507078081821534,0.22764536295938526,0.3510106711132037,19.834846305031984,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,100.0,0.392805862542365,0.22750287875973318,0.35363695711367477,19.070052038415156,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,1000.0,0.39254770870949063,0.22749459249142134,0.3538702256402924,18.985428831090868,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,10000.0,0.3925215487740113,0.2274938338319574,0.3538932164975591,18.976877334637393,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
linrank_m,6,100000.0,0.3925189293050352,0.22749376123163487,0.3538954953831404,18.97602128487953,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
mkt_est,1,0.0,0.39251863821388616,0.22749375031609015,0.3538957675912968,18.97592615812801,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,1e-07,0.2375889437278469,0.43495353167819345,0.07256040116904697,-31.81474092800375,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,1e-06,0.23808596338142016,0.4335698453642509,0.07454268071750421,-31.894915764569266,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,1e-05,0.24185642848528474,0.4234236631069722,0.08990411091948015,-32.36785316257218,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,0.0001,0.25428299326323456,0.3914121113871265,0.13394288415465164,-32.00699473196724,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,0.001,0.27396206050990424,0.33247289874962394,0.16663402820930004,-24.545306082341202,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,0.01,0.3109197569386067,0.245294029168786,0.19501423601188494,-4.043513139496853,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,0.1,0.36397018540379944,0.20770923673615582,0.29129641868588513,14.98754534118501,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,1.0,0.3940888397978997,0.21894342901555888,0.3552761834787595,20.120861255034217,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,10.0,0.3932626891166367,0.22631158548417224,0.3554644166775405,19.14940603141182,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,100.0,0.39260267750298716,0.22737066024434954,0.35470670256396236,18.994462085163487,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,36,1000.0,0.39252714413453693,0.2274813900312492,0.35461849893538605,18.97779287269161,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
rff,360,1e-07,0.057773100987880514,3.139768284790152,0.05922734264863922,-22.5319757737388,gs_bx_estimators_bx7_s003_w360_summary@de109da+dirty
