method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
ff,6,0.0,0.2290612238210095,0.2075510265999115,0.30693435636531996,9.714558722059756
fm,6,0.0,0.22134624144499393,0.22496187334336012,0.29901056151567074,
linlev,11,0.0,0.20342151668086414,0.2935883805967025,0.24755082931644584,-2.2264600240985524
linlev,11,0.001,0.2274513558907474,0.28602191972108426,0.2908100255103976,1.9039324558265256
linlev,11,0.01,0.22644412643473352,0.2826894769043422,0.2875942886260967,1.51146035062851
linlev,11,0.03,0.22704097914482488,0.2761357589143712,0.2840841037846401,1.7889949968857188
linlev,11,0.1,0.22960757225565803,0.2582685182803821,0.27587138576096126,3.8923772094536147
linlev,11,0.3,0.23293767743099683,0.22096034847127785,0.2695791023511848,9.66236834815479
linlev,11,1.0,0.23352009579233887,0.16364477343056652,0.27205234408192697,8.395200712376367
linlev,11,3.0,0.23435749874230488,0.154367980899521,0.2791593109377705,9.239032632717207
linlev,11,10.0,0.2355676413532739,0.20328336681112746,0.2840656595325448,9.671445490665995
linrank,6,0.0,0.21751386339261158,0.22512087862211988,0.29870946775748014,-1.8789460051789415
linrank,6,0.001,0.19115689960605198,0.24392635773247887,0.23040348741112596,-4.203640268580241
linrank,6,0.01,0.17267770591003323,0.24651491453414126,0.22617615395991242,-4.170880759277945
linrank,6,0.03,0.16611232079899896,0.24075237225724036,0.2365663055145163,-4.032038747053945
linrank,6,0.1,0.15912191893290134,0.23429300355318997,0.2513825192162422,-3.988706524205882
linrank,6,0.3,0.1539396485712815,0.23408419947608586,0.26059947060921446,-4.069140324100327
linrank,6,1.0,0.15039629364796683,0.2466016527737068,0.2649829736851947,-4.183325387788279
linrank,6,3.0,0.14895783125783207,0.2631866138424989,0.2665997465248782,-4.2399508213694075
linrank,6,10.0,0.14838515997213775,0.27409221804452333,0.2672791994518499,-4.263794351480465
rff,36,0.001,0.19824099892622649,0.2690734739845105,0.2589482095988176,-4.01332582284633
rff,36,0.01,0.22672247584250982,0.2032204675458061,0.28860439766421975,2.9194789113410553
rff,36,0.03,0.23479364484042314,0.17781451244949412,0.30504664664360087,7.736400866205522
rff,36,0.1,0.23660665409455828,0.16186017070299974,0.31620156426433205,10.309012772889517
rff,36,0.3,0.23403149512494745,0.1602022725172147,0.31336698639220983,8.96940395319998
rff,36,1.0,0.23051119773720632,0.1639551990950436,0.30382158948684396,5.839399236127736
rff,36,3.0,0.2285746087618879,0.16661688916791312,0.2978077613178481,4.396106828331583
rff,36,10.0,0.22768708917329097,0.16790095884521025,0.29498435181952926,3.7990305016944816
rff,360,0.001,0.20036372911808487,0.29964499894163843,0.30136587738294235,-3.5893404827302913
rff,360,0.01,0.22045741446296047,0.21997537509544537,0.30872326521502536,-0.0765308234012059
rff,360,0.03,0.23221292597069923,0.19212533096828718,0.3135722758423336,5.720184565495581
rff,360,0.1,0.2360849435882967,0.17051828418865442,0.3195547488835786,9.710919543232096
rff,360,0.3,0.23334116103514718,0.16482660146116146,0.31373878764349644,8.350675637502158
rff,360,1.0,0.23004976640266317,0.165961035019936,0.3032212849918214,5.485634385127407
rff,360,3.0,0.2283628035915601,0.16741147797050973,0.29742511959530166,4.251221921299663
rff,360,10.0,0.22761463538713525,0.16815774594741562,0.29484141425892807,3.7517999469883807
rff,3600,0.001,0.20439040129626837,0.2903768828228957,0.33506190545557585,-3.144621705413259
rff,3600,0.01,0.22056178185758551,0.21857608703623344,0.3137273735446746,-0.056398601637105104
rff,3600,0.03,0.23204181345889563,0.19175860571755357,0.31446665847951333,5.347649012147785
rff,3600,0.1,0.23655184468004953,0.1698411019989441,0.31998338390710424,9.888095115803889
rff,3600,0.3,0.23367224616191,0.1641871453240371,0.314230750857484,8.65315480542002
rff,3600,1.0,0.23018509024916717,0.1656602039170998,0.3034749943432204,5.601914081052475
rff,3600,3.0,0.22841320599956882,0.16729536970401562,0.2975257337527934,4.289885890241912
rff,3600,10.0,0.227630428670024,0.16812096477835106,0.2948735686206988,3.7633134545815725
rff_ens,36,0.001,0.20637844465857738,0.2524989298020707,0.26677563394809506,-2.728188067506797
rff_ens,36,0.01,0.22972118137460495,0.19756334757378294,0.2916099841848924,4.277251724731638
rff_ens,36,0.03,0.2358181165950113,0.1750114075232578,0.30641718669664963,7.996250885157258
rff_ens,36,0.1,0.2368987872115804,0.1607174413115594,0.3164470614112891,10.446508565548893
rff_ens,36,0.3,0.2341222331519496,0.15986559588122268,0.3129885344879109,9.030020923966546
rff_ens,36,1.0,0.23052722083272403,0.16390234933956788,0.30324734957007393,5.848973710563261
rff_ens,36,3.0,0.2285769296691659,0.16660966290000243,0.297213914666048,4.397408591128333
rff_ens,36,10.0,0.2276873212150019,0.16790025386714727,0.29439187303452063,3.7991576818537256
rff_ens,360,0.001,0.20210399521458705,0.294780353812642,0.30429078145012967,-3.2906535963728065
rff_ens,360,0.01,0.220692783934724,0.21945039815894585,0.30849533757121855,-0.01917408671135509
rff_ens,360,0.03,0.23230576017156157,0.19191286711142191,0.31310267299223005,5.766873519354735
rff_ens,360,0.1,0.2361104555377474,0.17042393756638183,0.31898430413402795,9.720341172685323
rff_ens,360,0.3,0.2333477921619127,0.16479690893715543,0.31312910572799013,8.355138019634547
rff_ens,360,1.0,0.23005087502468555,0.16595631780183326,0.3026148452525546,5.4863139444021085
rff_ens,360,3.0,0.2283629635914009,0.16741082844900876,0.296827681718319,4.251313684289277
rff_ens,360,10.0,0.2276146514511147,0.16815768220051908,0.2942488063391176,3.7518089273010897
rff_ens,3600,0.001,0.2046814996558135,0.28974381401428473,0.33482045556257684,-3.098304670628486
rff_ens,3600,0.01,0.22060443474010882,0.21850708906266098,0.3131376983840831,-0.04650292997880615
rff_ens,3600,0.03,0.23206044068531642,0.191735295967893,0.31385080178046126,5.358181216691748
rff_ens,3600,0.1,0.23655568117898784,0.16983094121925524,0.31934953512754105,9.88856287094546
