method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ff,6,0.0,0.25519973471649815,0.18613913858792086,0.3132979446105314,10.549384180580391,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
fm,6,0.0,0.24388873953362564,0.196773672503043,0.3105920379580052,,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linlev,11,0.0,0.24445874858030148,0.2323279206432965,0.3369005696135612,0.43220411873532133,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linlev,11,0.001,0.2469896118972799,0.2547356699255239,0.3166070595736414,2.206060820528334,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linlev,11,0.01,0.24809953654835884,0.22920047852219397,0.28188563975988784,3.46549225515355,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linlev,11,0.03,0.24573979412955188,0.2158899195631231,0.2562671119279405,1.6456011835887603,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linlev,11,0.1,0.24059772289777687,0.20176761283084751,0.23230545878161268,-2.9592059898981358,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linlev,11,0.3,0.23185504679324695,0.20230467855841872,0.21324913828471098,-9.191488877069274,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linlev,11,1.0,0.2128480549898328,0.2299664079136542,0.19409321212179154,-15.262812396389732,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linlev,11,3.0,0.19294118121449483,0.2569155421263639,0.1817820842466726,-17.975187261807555,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linlev,11,10.0,0.17943923127059383,0.27352606334678925,0.1750298950182448,-19.19487636534466,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linrank,6,0.0,0.2547631767204515,0.18627986594724313,0.340375356800353,7.800398704656749,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linrank,6,0.001,0.04564030575003357,0.2817976580033786,-0.06801758034495216,-40.61837575624981,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linrank,6,0.01,0.03684534636323331,0.2811628743041159,-0.16141159136174452,-40.02091695787916,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
linrank,6,0.03,0.03343008183902214,0.2815622266841524,-0.18856384351586142,-38.61325098429428,gs_bx_estimators_g28_s001_w360_summary@20d5509+dirty
