month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd,prov
774,ff,6,0.0,0,0.06358115473560215,0.2417317428029483,0.2630236062436839,-0.147638485975937,0.014781908629332437,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,fm,6,0.0,0,0.06508528064597414,0.27916722083029494,0.23314084100704405,-0.06956104197860255,0.0314672890353926,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank,6,0.0,0,0.06598263696734398,0.25376785508796984,0.2600118007242122,-0.13212232540072613,0.016253978106892646,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank,6,1e-05,0,0.03919281456214207,0.18105788974219197,0.21646565426090325,-0.02872841523630154,0.0353998264113834,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank,6,0.0001,0,0.011963166704561719,0.14447324257644087,0.08280541428446171,0.0764075259690819,0.07655672115349908,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank,6,0.001,0,0.005797027517337219,0.1440285964766418,0.040249142594938545,0.10054875389393067,0.088651206480864,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank,6,0.01,0,0.004609253120382409,0.13551281646887714,0.034013410985676056,0.10526602005054139,0.08863388178536159,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank,6,0.1,0,0.0019726943887008177,0.08856952019952982,0.022272835894975185,0.10550153498188183,0.08337048203859924,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank,6,1.0,0,-0.00013606964667599224,0.027533831289194323,-0.004941907475455219,0.054042265300848276,0.0804976890582398,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank,6,10.0,0,-5.45958632610615e-05,0.003927312203555247,-0.013901584705091164,0.008493919735132121,0.07959203787285146,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,mkt_est,1,0.0,0,0.054074292153146124,0.19368666799952372,0.27918437914001953,-0.3992718351206941,0.011757389510811112,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,ew,1,0.0,0,0.002771363790298394,0.009926643456324864,0.2791843791400195,-0.020463097384717285,0.0740309105114474,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank_m,6,0.0,0,0.06598263696734397,0.25376785508796984,0.26001180072421215,-0.132122325400726,0.016253978106892632,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank_m,6,1e-05,0,0.06598196174112739,0.25376217570961107,0.26001495911129346,-0.13210710559087604,0.016252356998295782,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
774,linrank_m,6,0.0001,0,0.06597599796359474,0.25371156091485675,0.2600433252851874,-0.1319740603987214,0.01623781190642326,gs_bx_estimators_gsbase_s001_w360_summary@c60eee5+dirty
