method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.2877781661933315,0.2795591871771437,0.3573178806321283,32.59034512753745,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
ff,6,0.0,0.2389722343918444,0.19636686608489995,0.3888241674109393,-23.394809988485253,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
fm,6,0.0,0.2582140152951199,0.1582364066345096,0.36281063445485495,,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev,11,0.0,0.2621994394728552,0.16370548679176333,0.33568924658883464,3.369326779189231,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev,11,0.001,0.25598327577741037,0.17417072531216868,0.35523180521945447,-1.138799818504146,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev,11,0.01,0.25432538095224316,0.16051869654137083,0.3316153051899977,-2.185623764935145,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev,11,0.03,0.24262335236795735,0.16864845850836366,0.30368259986469703,-8.13990368326136,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev,11,0.1,0.2208050277822579,0.19149852251416613,0.26896047684399904,-16.858789084716964,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev,11,0.3,0.19505256518738087,0.22030007687697062,0.23457153535588868,-23.708495635521366,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev,11,1.0,0.15942252096070234,0.25335155973375717,0.18109812383792,-32.309180370012555,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev,11,3.0,0.12948683212964734,0.27275661415228164,0.13083085635453087,-42.423955501831536,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev,11,10.0,0.11134554776833906,0.2830209275324096,0.10067311502484787,-51.18366666643741,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,0.0,0.262199439472868,0.1637054867917227,0.3356892465887755,3.369326779210121,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,0.001,0.2662864166604677,0.15411598140901628,0.34248409557870785,7.900527766389166,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,0.01,0.27147706349223844,0.14048050169123638,0.35159707698393944,16.22408060917705,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,0.03,0.2735637259512652,0.1340815886259053,0.3558046951762888,21.220512980597384,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,0.1,0.2769313666652516,0.12393845439197163,0.35945914455622807,27.761901315099827,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,0.3,0.2829874257914342,0.104836259023043,0.3622753962929887,36.24547664499077,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,1.0,0.29278665903756634,0.06925634997375665,0.3641778026109574,44.53497819483778,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,3.0,0.2986925407700085,0.04885516961795895,0.36323628000410085,43.58526410215077,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,10.0,0.29613850881934606,0.06751137765271423,0.3574992921750736,38.63107424630572,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,100.0,0.28911297654813084,0.09010811559823013,0.34924203084570593,33.522928341119,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linlev_m,11,1000.0,0.2879186943628922,0.09313776338345282,0.34791353036197487,32.68931583745278,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
linrank,6,0.0,0.2642555050906635,0.14425602789603134,0.364196172154373,5.818333935915412,gs_bx_estimators_gsbase_s001_w360_summary@a5b5673+dirty
