method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ff,6,0.0,0.2908402102203892,0.27905745090666634,0.24124614105502623,-6.141654258761105,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
fm,6,0.0,0.3034608243331861,0.2721282859452227,0.19197658229173375,,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linlev,11,0.0,0.3249099002607461,0.23868290282200005,0.36132461824421785,5.250282483653273,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linlev,11,0.001,0.32784790479595904,0.2835001298686181,0.3220730239594882,5.199210928365498,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linlev,11,0.01,0.32376885408453765,0.26703179540439315,0.32208009494957524,4.220480764250444,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linlev,11,0.03,0.3184789820155541,0.24425129032948595,0.3189522184304312,2.970973600152642,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linlev,11,0.1,0.31065817343843155,0.20856900258760905,0.31111750427985435,1.2561815380525092,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linlev,11,0.3,0.3020498370779719,0.18765811481636943,0.29774843790612426,-0.20448274348710166,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linlev,11,1.0,0.28868216533539215,0.22782631387483673,0.26622324101448136,-1.7374407467666122,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linlev,11,3.0,0.2713934827893182,0.28922601831900857,0.21970361742853803,-3.3223199997396096,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linlev,11,10.0,0.2566560498431333,0.335910591279937,0.17178904506523657,-4.584615222343509,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linrank,6,0.0,0.26954092813523606,0.2831783752234963,0.24196636335620975,-19.52262822527465,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linrank,6,0.001,0.21747903391931767,0.29373596662876433,0.2257758851253065,-37.051343782475044,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linrank,6,0.01,0.20765962081579495,0.30095870417571285,0.2168382836154764,-37.80721083535961,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linrank,6,0.03,0.20899846606847647,0.3005799841644336,0.21254900975453758,-36.1322201338393,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linrank,6,0.1,0.2069582400918413,0.30450806381169565,0.20287832305021686,-32.86802942770784,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linrank,6,0.3,0.20006662556868213,0.3156340318200357,0.19379099237619243,-30.88091059679115,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linrank,6,1.0,0.1914917744640985,0.33696998793718047,0.18657393852816054,-30.2720858380424,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linrank,6,3.0,0.1864828548231605,0.3551819460051592,0.1828035641535437,-30.223506242602042,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
linrank,6,10.0,0.18411162025576314,0.36568272527327256,0.18103997673302472,-30.23906014918705,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,36,0.001,0.24645333916183057,0.3253850258600645,0.19660848406091425,-18.882329007470336,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,36,0.01,0.2836791302258034,0.2783855419573702,0.23421268013553836,-13.450076859559918,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,36,0.03,0.3073714288539322,0.2624761092364255,0.24543782281542617,3.3976594905280635,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,36,0.1,0.33338193357623735,0.25468110701078095,0.2435180062323262,13.301991108579303,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,36,0.3,0.3495996698656066,0.25506947996537993,0.23416485626608488,14.02117270001807,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,36,1.0,0.3592691053872343,0.2588102955196958,0.22495620557860058,13.78479692888288,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,36,3.0,0.3630803052847126,0.26160822566371583,0.2204426404723806,13.584680985753668,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,36,10.0,0.36443918814992404,0.26307141989492944,0.21845061032029228,13.507468176819167,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,360,0.001,0.2309310119150534,0.38868311322464566,0.24196603924326743,-22.736627567759587,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,360,0.01,0.28489794773766686,0.27445633950575377,0.24221852293750745,-12.162403941389549,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,360,0.03,0.3054388155076174,0.2565931141639296,0.23680407251364174,1.5771593830418353,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,360,0.1,0.330436684568758,0.250879592042003,0.23197914122301297,13.082759833136084,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,360,0.3,0.34787144168941153,0.25353978457714743,0.22674838052338023,14.211860289850154,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,360,1.0,0.3587861489223609,0.2584985742514911,0.221911254998227,13.82870878355387,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,360,3.0,0.36293120123953876,0.2615846604130522,0.21930569748140832,13.58961517333726,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,360,10.0,0.3643875232735855,0.2630817241895487,0.21809263815155494,13.50819350253195,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,3600,0.001,0.2350107672373049,0.38088978909732074,0.25665753849109935,-21.462754062379528,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,3600,0.01,0.2827805613699236,0.2754951477677018,0.23969466961839553,-12.94637824890158,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,3600,0.03,0.3031544720162526,0.25727658547209936,0.23394946691039584,-0.26619579072108396,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,3600,0.1,0.3288078240257712,0.2506071624006287,0.23120376694789094,13.279842416794667,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,3600,0.3,0.3467566758240665,0.2531174181091813,0.2268497453493921,14.337047504346799,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,3600,1.0,0.35839864316923425,0.25824220594520786,0.22208999381650282,13.85910395084508,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,3600,3.0,0.36282524617186684,0.26147494729711057,0.21939182783562539,13.595754075786322,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff,3600,10.0,0.36436115300681177,0.26304565609647973,0.21812188417249892,13.509351266828876,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,36,0.001,0.2619675841656821,0.3018231682555751,0.2048959632694791,-17.40572023648414,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,36,0.01,0.29168861439572535,0.2697403893306323,0.2380013807926753,-9.090048436457893,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,36,0.03,0.31337619160335034,0.2576394167485044,0.2475660107118128,7.305060419091763,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,36,0.1,0.3373853093793237,0.2522054414637977,0.24441436228725594,13.564133536335534,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,36,0.3,0.35156814395558145,0.25403238701330627,0.23424463237464518,14.056013462487169,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,36,1.0,0.3598669625808,0.2585633610081638,0.22462693281203883,13.776429601788223,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,36,3.0,0.363203829358599,0.26156523208146526,0.22002036353044196,13.580455051974965,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,36,10.0,0.36445382373692486,0.2630667201688329,0.21801376487876561,13.506839643260921,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,360,0.001,0.23876100825702296,0.3712034836681599,0.2481581549756292,-22.034142655655405,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,360,0.01,0.28758450950764175,0.27113886554992356,0.24326128804927238,-10.433503783917851,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,360,0.03,0.3067183898175071,0.2554325631244685,0.2369032168196384,2.5156407360086916,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,360,0.1,0.3309398181548806,0.2505690036960068,0.23166405898777656,13.140236940117395,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,360,0.3,0.34801351150961324,0.2534723494875652,0.2263241982878975,14.216866797929496,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,360,1.0,0.35880759846976257,0.2584899413848244,0.2214691347504938,13.829162407269541,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,360,3.0,0.3629341865602495,0.2615835477467833,0.21886538659890106,13.589643649294242,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,360,10.0,0.3643878216626828,0.2630816168426711,0.21765430934608843,13.508194158448118,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,3600,0.001,0.23608053866315207,0.3784405924300111,0.257017992394463,-21.275108353744493,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,3600,0.01,0.282974670324541,0.27523867420060083,0.2393284087907876,-12.840544182612224,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,3600,0.03,0.3032266604801091,0.25719987931625904,0.23351872447227376,-0.20327049282556364,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,3600,0.1,0.3288381417198811,0.25058569019581994,0.2307517603934903,13.284351602925792,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,3600,0.3,0.3467676578619092,0.25311196310268486,0.22639716709534743,14.337240729586744,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,3600,1.0,0.3584008564461693,0.2582413424233689,0.22164412203214415,13.859078558330708,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,3600,3.0,0.362825599614418,0.26147482300402825,0.21895091589549337,13.595746496707385,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_ens,3600,10.0,0.36436119016303314,0.2630456435667514,0.21768345550356488,13.509350317450215,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,36,0.001,0.2263767913022177,0.36395147161539776,0.32695273794470275,-19.809299406746312,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,36,0.01,0.2601926803009291,0.29958475992572314,0.3380094669867325,-15.789687874200128,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,36,0.03,0.2831965477413368,0.2729775324800732,0.33042559859349124,-11.933647299177878,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,36,0.1,0.31330510291507324,0.2552291100281325,0.3051437347898536,6.88773229814069,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,36,0.3,0.34003336593857103,0.25139608631958826,0.27064056879751325,13.02224077232166,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,36,1.0,0.3575592329985764,0.2562089921024081,0.2400509248871375,13.50061340149987,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,36,3.0,0.36296643934110934,0.26052650887737644,0.2260642244361094,13.481654872890338,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,36,10.0,0.3644722118335952,0.262726218432754,0.2202058070410637,13.475923830299214,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,360,0.001,0.1955928298327026,0.48565918575809575,0.37630901123662136,-24.582923636491497,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,360,0.01,0.26491592685167326,0.295201133305846,0.35671176473178967,-16.469971972904574,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,360,0.03,0.29350972206478804,0.2571239578157138,0.33194776216993166,-6.992385936636072,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,360,0.1,0.32471318043419295,0.24183590184379322,0.29932668127919926,10.530747593536995,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,360,0.3,0.34767226786353056,0.24539363014104545,0.26359658878193265,13.141804154790318,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,360,1.0,0.360292857691168,0.254904875084435,0.23578286214271257,13.42131348134469,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
rff_lev,360,3.0,0.36373525647157073,0.2602933554850913,0.22422339720261544,13.451238889321445,gs_bx_estimators_gx7_s009_w360_summary@c3d60c8+dirty
