month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd
450,ff,6,0.0,0,0.17539016966702659,0.5431144790051085,0.3229340708947973,-0.2595832374026677,0.3397265381803656
450,fm,6,0.0,0,0.26391697937058445,0.6532983605296443,0.40397618502612004,0.4706695064038028,0.3333887897232455
450,linrank,6,0.0,0,0.36311273557714285,0.8318393911546386,0.43651784159093804,0.6632460833136161,0.46235398885414986
450,linrank,6,0.001,0,0.23654356146355043,0.6949179949981173,0.3403906117932538,0.6396721101335626,0.430548581908563
450,linrank,6,0.01,0,0.15920181732997912,0.4112216234197482,0.38714359426443945,0.2735529673929203,0.24081663614278287
450,linrank,6,0.1,0,0.0681290033754505,0.1657188567872729,0.41111195609383877,0.027020780379307767,0.2606181224385117
450,linrank,6,1.0,0,0.011595229934758918,0.028617022320182334,0.40518645878055976,0.00014753778132643378,0.3425347520477958
450,rff,36,0.001,0,0.38889527830604154,0.876549479418637,0.4436660878105507,0.30930602007963337,0.5065597993393339
450,rff,36,0.01,0,0.31007830268446235,0.5717666390778082,0.5423161854713697,0.1852511760446482,0.16768086658268483
450,rff,36,0.1,0,0.13044278259953485,0.22186349143559997,0.5879416291318859,0.0343268363803404,0.17012499175883425
450,rff,36,1.0,0,0.03388856306454731,0.06476052398229738,0.523290439617365,0.004979812774145919,0.3023370626375468
450,rff,360,0.001,0,0.40672994121715567,0.9314005592365323,0.4366863828711372,0.7833594520804119,0.5842481929879244
450,rff,360,0.01,0,0.28458230421714137,0.5273196190826398,0.539677064760495,0.35163541857806346,0.15466028870231519
450,rff,360,0.1,0,0.10893154813524741,0.18496311390814443,0.5889366038103387,0.05705198718832512,0.19298616800884405
450,rff,360,1.0,0,0.03001583331657071,0.05965499214268135,0.5031571078708648,0.0069564155234997545,0.30919983029768994
450,rff,3600,0.001,0,0.4172221367151061,0.945117545334539,0.4414499961138949,0.7591542734360641,0.5976490410276905
450,rff,3600,0.01,0,0.2772651652995429,0.5160805384760783,0.5372517361694601,0.29189571763022,0.15345659207685586
450,rff,3600,0.1,0,0.1058916725628612,0.18176864083962682,0.5825629331535171,0.039280254255559366,0.19724136857872296
450,rff,3600,1.0,0,0.029670471765122698,0.059436748588355896,0.49919405872304673,0.0046121561343174435,0.30984394904087487
450,rff,36,0.001,1,0.270688195199414,0.7584108885787051,0.3569149642704833,0.7720026595922419,0.4718546131298288
450,rff,36,0.01,1,0.22418144857741307,0.42133538444952184,0.5320736326722427,0.27045362968337366,0.1441897595142675
450,rff,36,0.1,1,0.09276851525403543,0.15243466615782486,0.6085788593389023,0.033894988563717726,0.2110771229546147
450,rff,36,1.0,1,0.028039466728620743,0.05618332234572426,0.4990709975476315,0.004616669955116452,0.31263567254058744
450,rff,360,0.001,1,0.40819037806457986,0.9508818190501099,0.42927561542016285,0.5751549773935644,0.6191866910089909
450,rff,360,0.01,1,0.28642804711388614,0.5316120067326533,0.5387915312039412,0.21592564665415323,0.1565680862416208
450,rff,360,0.1,1,0.10729467068418388,0.1810648230373995,0.5925760116420947,0.018879921543997105,0.19447910372402444
450,rff,360,1.0,1,0.02959981945862836,0.05901658765289624,0.5015508458862201,0.002031923594596025,0.3099312966065186
450,rff,3600,0.001,1,0.4226630585907579,0.9461264439830889,0.4467299918300483,0.8446533412556162,0.5932450205134635
450,rff,3600,0.01,1,0.283110529043813,0.5225378748659107,0.5417990592863005,0.320239605061008,0.1517481728308237
450,rff,3600,0.1,1,0.10747119433620721,0.1825618501418879,0.5886837488373399,0.04339757023389253,0.19470832666046545
450,rff,3600,1.0,1,0.029791785407358645,0.059420249769909006,0.5013742877675599,0.005133630395546968,0.30960657433935906
450,rff_ens,36,0.001,-1,0.32979173675272777,0.7775831190315335,0.4241240951365787,0.5406543398359378,0.4185864517213328
450,rff_ens,36,0.01,-1,0.26712987563093765,0.4818847649841196,0.5543438909917413,0.22785240286401082,0.13408337451012492
450,rff_ens,36,0.1,-1,0.11160564892678514,0.1835255351911558,0.60812054742431,0.034110912472029055,0.1876979736795986
450,rff_ens,36,1.0,-1,0.030964014896584027,0.06016050136082561,0.5146901072328279,0.004798241364631189,0.3074218549429336
450,rff_ens,360,0.001,-1,0.40746015964086774,0.9374258037908108,0.43465857030301425,0.679257214736988,0.5946424286192734
450,rff_ens,360,0.01,-1,0.28550517566551376,0.5282381944106612,0.5404856723471936,0.2837805326161082,0.15431027262860386
450,rff_ens,360,0.1,-1,0.10811310940971564,0.18274757636036343,0.5915980477712347,0.037965954366161084,0.19363073086599258
450,rff_ens,360,1.0,-1,0.029807826387599535,0.05932011441605653,0.5024910467726824,0.004494169559047889,0.30956355830668814
450,rff_ens,3600,0.001,-1,0.419942597652932,0.9451460864816813,0.44431501506415144,0.8019038073458402,0.594539543402866
450,rff_ens,3600,0.01,-1,0.28018784717167794,0.5190922161270813,0.5397650715361215,0.30606766134561403,0.15235809279666807
450,rff_ens,3600,0.1,-1,0.10668143344953421,0.18212196283859292,0.5857691833910307,0.04133891224472592,0.19595829928556072
450,rff_ens,3600,1.0,-1,0.029731128586240673,0.05942607551882229,0.5003044257368771,0.0048728932649322034,0.30972496987969894
450,linlev,11,0.0,0,0.3203493005445779,0.8133835297430324,0.3938477837703254,0.6871929167553468,0.4882896683210787
450,linlev,11,0.001,0,0.3650609577291456,0.7318089942573296,0.4988473229952916,0.4295676824918942,0.303463820069354
450,linlev,11,0.01,0,0.3732327622183829,0.6579720427341961,0.5672471442212317,0.10232446852799171,0.1905362079698088
450,linlev,11,0.1,0,0.22289777799820149,0.41545903722260064,0.5365096388041117,-0.04804034459860363,0.14126590364366276
450,linlev,11,1.0,0,0.050059395437087074,0.10517102087125792,0.47598088353982837,-0.03281820374460251,0.27821992442205495
450,rff_lev,36,0.001,0,0.1762703119813751,0.7146878087638621,0.24663959538676847,0.17843277738918634,0.5540810915125516
450,rff_lev,36,0.01,0,0.17731050530823014,0.36049607170591086,0.4918514214847764,0.08580921723934037,0.17154725098519275
450,rff_lev,36,0.1,0,0.06413109993399073,0.12028839384003082,0.533144536116073,0.005139676154087974,0.25509172439697636
450,rff_lev,36,1.0,0,0.023177736568774907,0.05262189388172277,0.4404580462434717,0.0014497751663305192,0.3217226266442009
450,rff_lev,360,0.001,0,0.29705301437034626,0.7701147058883825,0.38572567449893624,1.0479282472002907,0.4519829534249663
450,rff_lev,360,0.01,0,0.19727157883039706,0.397074888339096,0.4968120236853913,0.2663093842841869,0.16681321369654883
450,rff_lev,360,0.1,0,0.06715391119284385,0.12233568743852614,0.5489314900575417,0.020822041242937375,0.24993967441746534
450,rff_lev,360,1.0,0,0.023618310420573572,0.051810547472013434,0.455859116974811,0.0026275807875184532,0.3207773651689251
450,rff_lev,3600,0.001,0,0.28328589645844815,0.7208459243370492,0.39299091094810834,0.8943363015781207,0.3980697814423052
450,rff_lev,3600,0.01,0,0.1914676716850918,0.3939073910966688,0.486072808007057,0.25303704755292944,0.1736593872845104
450,rff_lev,3600,0.1,0,0.06417626341581079,0.11902960036022164,0.5391622186547959,0.02461615893789068,0.25470594030990795
450,rff_lev,3600,1.0,0,0.023099821713961743,0.05128735936092882,0.45039990363706267,0.0032775870302270893,0.3217361801591103
450,rff_lev,36,0.001,1,0.2801170451271835,0.7908579530480885,0.3541938777343886,0.8336591473961821,0.5084595992094301
450,rff_lev,36,0.01,1,0.18800618617432682,0.40668912828407455,0.4622847602727248,0.2420346858510814,0.18950182934922227
450,rff_lev,36,0.1,1,0.062366153546247416,0.12296719473599231,0.5071771677002642,0.029424363226047766,0.25904998959049863
450,rff_lev,36,1.0,1,0.022833193161679678,0.05030913470464716,0.45385779929883246,0.003983622278848823,0.3221578060149295
450,rff_lev,360,0.001,1,0.2663272782636874,0.7082465941319253,0.37603749946742215,0.917770785059719,0.40466072931304076
450,rff_lev,360,0.01,1,0.18914772218597117,0.3971519976914074,0.47626028141734683,0.24127410879485864,0.17998295430007458
450,rff_lev,360,0.1,1,0.06418669734174674,0.12268776371075732,0.5231711411177904,0.026372602312307578,0.25557065339009405
450,rff_lev,360,1.0,1,0.023127457378648,0.0512752633053679,0.4510451217171387,0.0035911495768660793,0.3216809457481399
450,rff_lev,3600,0.001,1,0.30692094729704333,0.7381182694448046,0.41581540520315546,0.9092719715169378,0.38994898157742064
450,rff_lev,3600,0.01,1,0.1966079976686484,0.40151699827952286,0.48966294954161915,0.2573885389841112,0.17142643791097673
450,rff_lev,3600,0.1,1,0.0644174428110796,0.12050913813088837,0.5345440504363578,0.030479189918393046,0.25460900228280897
450,rff_lev,3600,1.0,1,0.023091549546144986,0.05130092566587533,0.450119549431545,0.0041270193640766464,0.32175373413592767
450,rff_lev_ens,36,0.001,-1,0.2281936785542793,0.6307046992367364,0.3618074811087245,0.5060459623926842,0.3582452440564771
450,rff_lev_ens,36,0.01,-1,0.18265834574127848,0.3541037366843158,0.5158328670903544,0.1639219515452109,0.1582086647137786
450,rff_lev_ens,36,0.1,-1,0.06324862674011905,0.11715056855861215,0.5398917608195374,0.017282019690067863,0.2559992196114787
450,rff_lev_ens,36,1.0,-1,0.023005464865227292,0.051328408950178206,0.44820140222069793,0.002716698722589666,0.3219247558421673
450,rff_lev_ens,360,0.001,-1,0.28169014631701683,0.7293576912495291,0.3862167352131816,0.9828495161300048,0.412703516276512
450,rff_lev_ens,360,0.01,-1,0.19320965050818412,0.3955932268704997,0.48840484969029235,0.2537917465395227,0.17217649777254096
450,rff_lev_ens,360,0.1,-1,0.06567030426729528,0.12208152209190613,0.537921735755039,0.023597321777622478,0.25264770695784505
450,rff_lev_ens,360,1.0,-1,0.023372883899610782,0.051525324516929365,0.45361934386131414,0.003109365182192266,0.32122721156273787
450,rff_lev_ens,3600,0.001,-1,0.29510342187774574,0.7270646770616213,0.4058833157324939,0.9018041365475292,0.3902740590727827
450,rff_lev_ens,3600,0.01,-1,0.19403783467687008,0.3973608688421612,0.4883164143521776,0.2552127932685203,0.17224250061294538
450,rff_lev_ens,3600,0.1,-1,0.06429685311344518,0.11972054018338368,0.537057826626555,0.02754767442814187,0.25464521542880264
450,rff_lev_ens,3600,1.0,-1,0.023095685630053365,0.05129231603843824,0.4502757413555971,0.0037023031971518683,0.32174476971280247
451,ff,6,0.0,0,0.23911337011257985,0.5029170120130717,0.47545293637107044,-0.46555755868549475,0.199838234008016
451,fm,6,0.0,0,0.33358433200466076,0.7633708698615803,0.4369885532377579,0.7115438325638093,0.394809176997324
451,linrank,6,0.0,0,0.3179449022554729,0.8113399760701009,0.3918762930867861,1.1584831890518679,0.4914359626231525
451,linrank,6,0.001,0,0.17517447975498734,0.6522920528375162,0.26855222134466616,1.0687283412192632,0.4737863105368609
451,linrank,6,0.01,0,0.06730763197352518,0.3271004766085881,0.20577051024620246,0.41988494526998166,0.34487402466682276
451,linrank,6,0.1,0,0.015483552662652503,0.11517656084171063,0.13443319152350666,0.0238958671823903,0.3505025247395005
451,linrank,6,1.0,0,0.00271902974562953,0.019826920024598117,0.13713828180353713,-0.002173447641273521,0.36292668988358445
451,rff,36,0.001,0,0.30571580347031935,0.7621720058617902,0.4011112991806168,0.8089095888963324,0.43090096156467306
451,rff,36,0.01,0,0.18340233679804557,0.45488343205102105,0.4031853522804819,0.20473930592424755,0.24171492979583253
451,rff,36,0.1,0,0.07491065989694441,0.19265553163089247,0.3888321257261654,-0.009981490033350707,0.26087069053471273
451,rff,36,1.0,0,0.028794556881233193,0.07201904125606585,0.3998186643286917,-0.0005664703616102308,0.3163910045413872
451,rff,360,0.001,0,0.2701683499310435,0.8032819444822968,0.33633066420428875,0.7935467389144839,0.5458803692680596
451,rff,360,0.01,0,0.15089251493000105,0.41387034839641507,0.36458885135079194,0.3736370333045104,0.26023643597809254
451,rff,360,0.1,0,0.06050826096967286,0.1577890994558551,0.3834755453851953,0.03535444211950575,0.2755063771077421
451,rff,360,1.0,0,0.0266789980721576,0.0675856101416195,0.39474376300301484,0.005293898842706995,0.31988583698645806
451,rff,3600,0.001,0,0.2704839330791537,0.815057364368363,0.33185876835646777,0.7073919486480011,0.564476448601187
451,rff,3600,0.01,0,0.1560444791040137,0.4162626625664972,0.3748702277112973,0.3196699808413242,0.2534997749921891
451,rff,3600,0.1,0,0.06370519683287218,0.15764446886122735,0.4041067681794224,0.027383557128820547,0.2694639864947332
451,rff,3600,1.0,0,0.027158412598330562,0.06757777145784379,0.4018838149356917,0.004444844823787859,0.31895175886783267
451,rff,36,0.001,1,0.11424559280776864,0.6897512310543532,0.16563303936860382,1.0179185658231293,0.6282818800958809
451,rff,36,0.01,1,0.03365284911400687,0.32292657045592144,0.10421207851213467,0.2937356503560659,0.40607263542632366
451,rff,36,0.1,1,0.022723978451999055,0.12546524547794247,0.1811177140365462,-0.01516128633701069,0.33877419960995325
451,rff,36,1.0,1,0.021375847604875115,0.06443716651420113,0.3317316505554935,-0.002220737987256993,0.3298216295738796
