method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
ff,6,0.0,0.3422529388026424,0.5982215525208593,0.09458427723678677,-2.395046278793823
fm,6,0.0,0.4019665730950665,0.5921283046970727,0.4029457946312595,
linlev,11,0.0,0.40357746500839375,0.7931759513908846,0.3968370028268765,0.05767421980886307
linlev,11,0.001,0.4067323971504598,0.6723324907831592,0.3302017414312058,0.17176550633223633
linlev,11,0.01,0.4012781164746123,0.5900413948096349,0.3644290248957136,-0.020025692626422998
linlev,11,0.1,0.4081096795905241,0.5226339318139246,0.39574283728604875,0.1619025890905186
linlev,11,1.0,0.34193906297232024,0.5777130238990794,0.22536797005856554,-1.223156541073225
linrank,6,0.0,0.4456203296353427,0.653464714767449,0.3478429583307644,2.908487153466695
linrank,6,0.001,0.3105165598322818,0.6620576615685771,0.24009246802822792,-4.870082406922269
linrank,6,0.01,0.26064170441827406,0.5851611636845979,0.25065955057204503,-4.916642231803223
linrank,6,0.1,0.23407091706995933,0.5830080959523634,0.253981007543764,-4.172414362466972
linrank,6,1.0,0.22947869137502513,0.6166544689706132,0.23277369805215117,-4.142744695324444
rff,36,0.001,0.3244106323141328,0.6986796704812419,0.1649155609230654,-2.4600326830928445
rff,36,0.01,0.4054308608854348,0.4983183220576945,0.29767943268569375,0.10218732965450635
rff,36,0.1,0.44921313167162713,0.5160371312937977,0.2608642440758724,1.4132240575099122
rff,36,1.0,0.38954698026656537,0.5648108245424216,0.13735511182011612,-0.4483321944970467
rff,360,0.001,0.29147827247797575,0.7334669768058572,0.13422443445073995,-3.3008711443679335
rff,360,0.01,0.42579492834950033,0.4865446545951025,0.3746710615339392,0.7915035251106449
rff,360,0.1,0.4703506831287949,0.5140983592602488,0.2808230601290875,2.57447051945881
rff,360,1.0,0.3924634446475552,0.5652164435497671,0.13634316537011504,-0.3734764743925131
rff,3600,0.001,0.2857909619519786,0.7211273819659879,0.15965611624638712,-3.3151604922777036
rff,3600,0.01,0.4224245029299099,0.48753047395688215,0.3940499602041041,0.6920414215962493
rff,3600,0.1,0.46899281911767676,0.5151319484070086,0.28850263486816663,2.5794102420131564
rff,3600,1.0,0.39207608673332184,0.5652802717605561,0.13746619933300785,-0.3887560515740311
rff_ens,36,0.001,0.3634981186475121,0.6363752319798459,0.17399907269636106,-1.2189542257815575
rff_ens,36,0.01,0.4309093461239065,0.48133600992140063,0.30688155145725854,0.8576956325421878
rff_ens,36,0.1,0.4600713389296583,0.514514566580051,0.26145472063929137,1.7699215037039884
rff_ens,36,1.0,0.39072867582286636,0.5647818729004834,0.13618698632013443,-0.4014599222105307
rff_ens,360,0.001,0.29422443690418076,0.7262856815895656,0.13631364360435824,-3.20747799870733
rff_ens,360,0.01,0.4274177020643892,0.48529733310422085,0.37434515572252225,0.8464722495588177
rff_ens,360,0.1,0.4710252661985522,0.5140145775795212,0.27864207787410233,2.602447928851426
rff_ens,360,1.0,0.3925490692345884,0.5652149202262476,0.1351447985242313,-0.3698699424709236
rff_ens,3600,0.001,0.286126586226544,0.7201549928199462,0.15852437714215875,-3.3027008316338486
rff_ens,3600,0.01,0.422671468889074,0.48732735995812476,0.39084327575803685,0.7003237304530968
rff_ens,3600,0.1,0.46910401576910765,0.5151202639476927,0.28598528752310215,2.58404731561927
rff_ens,3600,1.0,0.3920892485809559,0.5652800879212871,0.13625523739270123,-0.38823447899924135
rff_lev,36,0.001,0.2540431772833642,0.8069592361260706,0.21457503120235555,-6.045264261838029
rff_lev,36,0.01,0.4089878108637115,0.49792520189336614,0.29887691020600615,0.33500725519877783
rff_lev,36,0.1,0.46349056501699865,0.5320823673461326,0.21234302191092685,3.729667561842824
rff_lev,36,1.0,0.3837038673693549,0.5686554800991415,0.1239032236168454,-0.7751210713637966
rff_lev,360,0.001,0.34918547300909436,0.6230203037968721,0.41953491647266145,-2.1442399654474196
rff_lev,360,0.01,0.4640507623518323,0.4686205186854193,0.4324043241502266,3.133140357574435
rff_lev,360,0.1,0.48016438177556536,0.530388331557994,0.2324841272361264,4.796609145744766
rff_lev,360,1.0,0.3875352337762234,0.5685147313548484,0.1255190236161152,-0.6227124289900802
rff_lev,3600,0.001,0.3729878476131994,0.5801953459342565,0.4113113281449509,-1.1644127432390674
rff_lev,3600,0.01,0.48178596929786477,0.4602060152451545,0.4120793664932844,4.305782962355139
rff_lev,3600,0.1,0.4835332492698436,0.5308178459951017,0.22557229131208537,4.993010673769894
rff_lev,3600,1.0,0.38574776806045086,0.5687103418327965,0.12461947799539691,-0.6848534688132115
rff_lev_ens,36,0.001,0.32322050752613757,0.6521271721635654,0.28007455627040856,-2.968935221452527
rff_lev_ens,36,0.01,0.4685808170122165,0.46585489230573296,0.3486181711616091,3.1248799677349175
rff_lev_ens,36,0.1,0.4819219252033372,0.5308045927796083,0.21451170029419447,4.810268596754303
rff_lev_ens,36,1.0,0.3853546317323754,0.5686390173529869,0.12284538936758892,-0.6968023001269398
rff_lev_ens,360,0.001,0.36159158924252516,0.6028041345438969,0.43198622598360287,-1.6246699347564781
rff_lev_ens,360,0.01,0.4701045997962612,0.46578223135924174,0.4341815836040499,3.421415183463907
rff_lev_ens,360,0.1,0.4823017435268101,0.5302641584876063,0.23068087940028256,4.897302823813776
rff_lev_ens,360,1.0,0.3877326083565537,0.5685129549371406,0.1244151232496118,-0.6126893251556308
rff_lev_ens,3600,0.001,0.3744133210088588,0.5782366638684078,0.4088969053616401,-1.1040386865747214
rff_lev_ens,3600,0.01,0.4824031274561662,0.4599412367531983,0.40874520396932784,4.3386067621327085
rff_lev_ens,3600,0.1,0.48370617341129035,0.5308082146316456,0.22359880644945443,5.002553018687133
rff_lev_ens,3600,1.0,0.38576074639824376,0.5687102110393174,0.12352161064017042,-0.6842033709039894
