method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.06958930042281668,0.21240374769934534,0.10532686171918221,-185.88112134153886,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
ff,6,0.0,0.20783763305515157,0.09504498896755208,0.1290809144177659,18.49210740418528,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
fm,6,0.0,0.1942476392859709,0.13743922373128095,0.1799573812262878,,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,0.0,0.19419398988845515,0.12407908163367504,0.08048797775259281,-0.025950137318471504,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,1e-07,0.1942175003441372,0.12404068532535328,0.08075911270938022,-0.014592102065613798,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,1e-06,0.19438760594229687,0.12377183448168869,0.0829758306158822,0.06826822189942824,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,1e-05,0.19472058695285072,0.12356731629198076,0.09417791445678622,0.23711654834673485,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,0.0001,0.19468356575684403,0.12451036364226155,0.10589595624186748,0.21983304093407685,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,0.001,0.19754236477783557,0.1193249705082543,0.11191404541947204,1.600170640574076,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,0.01,0.20440351243167854,0.10780718073897712,0.12251709571337886,4.465152678972094,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,0.1,0.20380078155083345,0.11591096220792438,0.1247062422510839,4.333513706609717,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,1.0,0.17457849544906018,0.16440465457395287,0.06659466929531335,-6.493207341873899,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,10.0,0.11896466690370429,0.2054126878756649,-0.06654319445412069,-14.643974069472788,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,100.0,0.09274789540618013,0.21966726467775888,-0.11542777369434139,-16.91361982389224,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
linlev,11,1000.0,0.08626046071947863,0.22247668159058284,-0.120284806042045,-18.258012426161827,kp_vy_estimators_kpbase_s002_w360_summary@c3aaea0+dirty
