method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
ff,6,0.0,0.3533461713165757,0.4417591340392175,0.44543922142468395,-1.3094961657456206
fm,6,0.0,0.3799414574168859,0.41605716711261104,0.3935289265703346,
linlev,11,0.0,0.3357664819923599,0.7687874505869985,0.6036541456868224,-1.3096952907396193
linlev,11,0.001,0.3640679253780305,0.5308960184530309,0.5829647248338526,-0.5585742387764965
linlev,11,0.01,0.37040502710643247,0.4193514006945967,0.5062839622606939,-0.556375420121035
linlev,11,0.1,0.33740778716743175,0.3999398643006871,0.4673245327211832,-4.220113630222761
linlev,11,1.0,0.3208476266643699,0.4668432584567174,0.4354109813983569,-5.850037025688994
linrank,6,0.0,0.30861491747136,0.49722084969017394,0.48100752672108466,-1.5905421344866704
linrank,6,0.001,0.1342786819476964,0.5374547589622382,0.6214321591767946,-3.828354083106576
linrank,6,0.01,0.089728295375896,0.5087792771848627,0.6233179925035233,-4.9366504760307865
linrank,6,0.1,0.10397210471563428,0.502106308695675,0.5862849019126916,-5.834298894047773
linrank,6,1.0,0.1074048705629894,0.5100850039679383,0.5764842184853394,-6.065717094934939
rff,36,0.001,0.33479106339697595,0.4575597652557996,0.3438146802869089,-1.2715197207682636
rff,36,0.01,0.3837569848827853,0.3810728621749426,0.42299666760154375,0.1684804254970266
rff,36,0.1,0.3740713765903832,0.3907079067902469,0.37359654885228827,-0.6861767676936037
rff,36,1.0,0.3679139615883783,0.39770124960052716,0.3587188515757035,-1.9184076247630548
rff,360,0.001,0.3651635495647616,0.4250565192405702,0.356557875174411,-0.48096504994924894
rff,360,0.01,0.39295241275264053,0.37228837984304347,0.41982912906171094,0.6918834014264912
rff,360,0.1,0.3746131351951061,0.390507715314547,0.3705565294667334,-0.6891424420598371
rff,360,1.0,0.3679446586826495,0.3977182703294961,0.3583343110645674,-1.93136640549419
rff,3600,0.001,0.3609230139362015,0.42986534742163224,0.3702030181658891,-0.6329269127691688
rff,3600,0.01,0.39211650137628085,0.3732029083021889,0.4111944031530221,0.6538477967652392
rff,3600,0.1,0.37425880582189486,0.3909305017451595,0.3684777585856529,-0.7370378083608459
rff,3600,1.0,0.3679000901395899,0.3977720137185302,0.35810284578525303,-1.938831223434498
rff_ens,36,0.001,0.34824209451044674,0.4347759049839009,0.3480992579183648,-0.8718913676016502
rff_ens,36,0.01,0.3870052606858308,0.37693790772625146,0.4186167194705577,0.3107795499168068
rff_ens,36,0.1,0.3741895657913151,0.39056021634541577,0.367201314459429,-0.672460677978961
rff_ens,36,1.0,0.3679153876744984,0.3976994475938567,0.35248099778146175,-1.918182963552547
rff_ens,360,0.001,0.3670434380171489,0.42170300646593706,0.3528258218689438,-0.4196770270559336
rff_ens,360,0.01,0.3932946105995071,0.3718494600126908,0.41279747488716906,0.7099760211084514
rff_ens,360,0.1,0.37462453746480157,0.3904930558771547,0.36411928641915564,-0.6876698191858165
rff_ens,360,1.0,0.3679447900383221,0.39771809659903734,0.3521020227433906,-1.9313455908513768
rff_ens,3600,0.001,0.3610520670216433,0.42963468297398555,0.36391975907030727,-0.6283933532594494
rff_ens,3600,0.01,0.3921333571039465,0.37318126438369636,0.40405952645165744,0.6547135188751665
rff_ens,3600,0.1,0.3742593052787069,0.3909298810933253,0.3620694312054233,-0.7369716083207225
rff_ens,3600,1.0,0.36790009594209117,0.39777200641694443,0.3518745005395294,-1.9388302500777626
rff_lev,36,0.001,0.36282068658748234,0.4689250275964313,0.32749279722907293,-0.8381702801661599
rff_lev,36,0.01,0.3978758625708929,0.3725691786525523,0.39236469138099406,1.624592239988797
rff_lev,36,0.1,0.3736885430250024,0.3925069093999222,0.36376869159551095,-0.9444195049204089
rff_lev,36,1.0,0.36780450154369665,0.39798574628733624,0.3575596125181951,-1.9821773517554915
rff_lev,360,0.001,0.41042212713200094,0.39158672517887483,0.3655604353754311,1.6975928763253239
rff_lev,360,0.01,0.40745870644105064,0.36166037266193646,0.37006673719964056,2.974316159777803
rff_lev,360,0.1,0.3750838076172747,0.39112257618752533,0.36016521233943777,-0.7589365050084924
rff_lev,360,1.0,0.36795986340740944,0.3978335658584719,0.3571865074732345,-1.9633251392059954
rff_lev,3600,0.001,0.4166821281976931,0.3736522727856202,0.32530891139018786,2.1065202093831843
rff_lev,3600,0.01,0.40712670939135764,0.3604671972013641,0.368731395887151,2.9678857739964206
rff_lev,3600,0.1,0.37469260492188394,0.391267259040868,0.36020695911638156,-0.82058144668039
rff_lev,3600,1.0,0.36790901187896174,0.3978574045781171,0.35719207063555664,-1.971822052948812
rff_lev_ens,36,0.001,0.3918521214535075,0.41435971499918023,0.3626569761333752,0.5373507060123495
rff_lev_ens,36,0.01,0.4006098437834872,0.368883310053844,0.3891177172199337,1.8567972184866766
rff_lev_ens,36,0.1,0.3737325185630867,0.3924495227653549,0.3574886091604188,-0.9377309728889093
rff_lev_ens,36,1.0,0.3678049665029698,0.3979851381509971,0.35134118764228706,-1.9821010869767821
rff_lev_ens,360,0.001,0.4150387471008765,0.38349397879610186,0.36558643173743977,1.959498480273165
rff_lev_ens,360,0.01,0.40775609791036377,0.3612482841198596,0.36397760299099513,3.00349893553291
rff_lev_ens,360,0.1,0.3750899953133397,0.3911134630988555,0.35390799053151234,-0.7579363357491545
rff_lev_ens,360,1.0,0.36795993312882774,0.3978334592773217,0.3509741736840607,-1.9633126717640133
rff_lev_ens,3600,0.001,0.41710627287480023,0.3729436667024136,0.32032799378360327,2.131320182387043
rff_lev_ens,3600,0.01,0.4071484237157424,0.36043768040617435,0.36234105677611667,2.970244802683486
rff_lev_ens,3600,0.1,0.3746930249193042,0.3912666761520407,0.35394237974291864,-0.820515227075579
rff_lev_ens,3600,1.0,0.3679090165319746,0.3978573979725674,0.35097956472067415,-1.9718212716581338
