month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd,prov
774,ff,6,0.0,0,0.11213931480574488,0.37970088675388075,0.2953359307755126,0.25398095537584847,0.1130192389355521,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,fm,6,0.0,0,0.09679354368307647,0.37018179856507355,0.2614756966935567,0.12189858684477443,0.13336634594170463,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,0.0,0,0.10308348443439137,0.3450814031413864,0.29872222465768783,0.1806960157266666,0.104090289908638,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,1e-07,0,0.10306038352415979,0.34501699020514015,0.29871103873140326,0.18064855956699802,0.10408727835429878,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,1e-06,0,0.10285315585880486,0.34443960575776167,0.29861013117968693,0.18022283801818498,0.1040609811873256,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,1e-05,0,0.10084607174818219,0.33888829539880944,0.29757909351665524,0.1760981994822189,0.10387294266924296,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,0.0001,0,0.08566310761004384,0.29947498089076197,0.2860442877573494,0.14479516759267405,0.10624709618510127,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,0.001,0,0.04714161840820996,0.21403669203380823,0.22025017281038753,0.06301179356696889,0.1343006801267582,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,0.01,0,0.022028021263659808,0.10972777453390858,0.2007515540821673,0.0016568578330848687,0.14901925491789425,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,0.1,0,0.012027447782576299,0.06798448254755908,0.1769146036253553,-0.02000118245121227,0.16126153302252674,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,1.0,0,0.003796776344288797,0.022915747546727552,0.16568415830846372,-0.007703783743516905,0.1734958735279136,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,10.0,0,0.00048816662997426725,0.0029697490148732964,0.16437975988186151,-0.0010065790936554242,0.17958260367617876,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,100.0,0,5.025228780771122e-05,0.000305954832105725,0.16424740691902578,-0.00010377783249128327,0.18044947077829357,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank,6,1000.0,0,5.040049661955859e-06,3.0688194810210134e-05,0.16423415235486602,-1.0409985912041126e-05,0.18053980008810086,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,mkt_est,1,0.0,0,0.006155620067037763,0.12347185696682011,0.04985443823600975,0.06548935969092841,0.1835218302074264,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,ew,1,0.0,0,0.0029435968563487755,0.05904382760094209,0.049854438236009754,0.03131679200650842,0.17815752384778225,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank_m,6,0.0,0,0.10308348443439135,0.3450814031413861,0.29872222465768805,0.18069601572666646,0.10409028990863786,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank_m,6,1e-07,0,0.10308314680410217,0.34507904880382023,0.29872328430667966,0.18069488363148,0.1040892706904384,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank_m,6,1e-06,0,0.1030801085689013,0.3450578655764767,0.29873281803528456,0.18068469663563977,0.10408010146122514,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
774,linrank_m,6,1e-05,0,0.10304976944531913,0.3448466069942147,0.298827847962697,0.1805830104835519,0.10398877766777458,kp_vy_estimators_vyg25_s000_w360_summary@de109da+dirty
