method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.05717260790455785,0.3776885549359077,0.3327091656810487,-76.2110988720974,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
ff,6,0.0,0.2762775238586432,0.2764322711133922,0.3660999215322473,18.67251665361468,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
fm,6,0.0,0.2308453548429423,0.31460637001488,0.391660380671419,,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,0.0,0.25687021000700316,0.31324490231661584,0.33649074016303726,7.44432612695514,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,1e-07,0.2568480311775267,0.31328728790333793,0.3362421700320038,7.436739900169225,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,1e-06,0.2566499569816526,0.3136794852662949,0.3341330324929947,7.366801124821725,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,1e-05,0.25511317662504907,0.31705221949405354,0.3212471089580759,6.77329231493547,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,0.0001,0.252255934737022,0.3231991739591193,0.30437887094835986,5.691630984411668,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,0.001,0.2504098759178953,0.32414288243210526,0.30356730350280564,5.018701437140068,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,0.01,0.24017489246837556,0.32964184699172727,0.3034478774044916,2.179212539814589,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,0.1,0.20980481217633357,0.35344325102825846,0.2654314556881856,-4.061658839175711,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,1.0,0.1543979026789865,0.3804143580015879,0.20422313438691253,-12.379291716103888,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,10.0,0.11148980884400318,0.3818046259009331,0.19544496829857086,-24.349456088548934,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,100.0,0.08804346483822086,0.3790790488638451,0.17186845238257883,-36.26226357693115,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev,11,1000.0,0.08294820613883926,0.381289237138552,0.1595014809403879,-40.77658264234896,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev_m,11,0.0,0.25687021000710086,0.31324490231639357,0.336490740162438,7.444326127014382,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev_m,11,1e-07,0.2568700231379072,0.3132447207560078,0.33649073104709065,7.444253482952643,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev_m,11,1e-06,0.2568683410496202,0.3132430883525324,0.33649064767311043,7.443599614032409,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev_m,11,1e-05,0.2568514940512906,0.3132269260198085,0.33648968237877563,7.4370538272215,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev_m,11,0.0001,0.25668056617083895,0.3130808346637798,0.3364672909926942,7.370944442752727,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev_m,11,0.001,0.2548389278785985,0.31269999927642733,0.33529729883969955,6.686096802958184,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev_m,11,0.01,0.24163838772946436,0.322267089547562,0.30954459556926645,2.587852256167099,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev_m,11,0.1,0.2125178830931924,0.3521187796569401,0.21904157107481464,-3.3099311040088657,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
linlev_m,11,1.0,0.16647929449687487,0.37544707797184673,0.17052030990336978,-9.999986606252605,kp_vy_estimators_vym3_s004_w360_summary@c3aaea0+dirty
