method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
ff,6,0.0,0.45605960273786,0.5884049769795434,0.5085752736466231,-23.79314784487261
fm,6,0.0,0.5448986908546309,0.5358275124566272,0.5792427166940702,
linlev,11,0.0,0.5272032789485782,0.5522914950466109,0.584665471268876,-5.030275185840941
linlev,11,0.001,0.5135041389898705,0.5620157342346584,0.5701028545505854,-7.535967085389012
linlev,11,0.01,0.4750690338095739,0.581925477354485,0.5102109721598591,-15.094390331156122
linlev,11,0.03,0.44772308364349006,0.59648892449586,0.4630078088642701,-20.91177312101406
linlev,11,0.1,0.42762047916423707,0.608335979960651,0.4238041438220645,-26.46926161489558
linlev,11,0.3,0.41330068037972645,0.6187972232420362,0.39831845938792015,-29.091655842637486
linlev,11,1.0,0.38566688964794366,0.6375307539259314,0.36701810673371077,-28.912182692248354
linlev,11,3.0,0.33853360136171984,0.6612688040772307,0.3235992294241606,-28.764654036823906
linlev,11,10.0,0.28088308573146403,0.6794518136662917,0.27609496616658,-29.026970149308283
linrank,6,0.0,0.5417129502158761,0.5376279890740026,0.5776057522674933,-1.082190849748966
linrank,6,0.001,0.5028985449637418,0.5737186697400624,0.475356577686773,-13.309827100277964
linrank,6,0.01,0.4121184851039818,0.623942071544702,0.3445715786939487,-37.59018580959457
linrank,6,0.03,0.34629357410537676,0.6524459150388862,0.2632222204786578,-48.73130952451132
linrank,6,0.1,0.26820750927549664,0.6772954612145703,0.17540718414498419,-64.05962091307475
linrank,6,0.3,0.23123591991132644,0.6908827626676882,0.13366045560547393,-84.82216232382093
linrank,6,1.0,0.21625689616647356,0.702823323399756,0.11688678073433612,-103.87513582962264
linrank,6,3.0,0.21171569405248095,0.7109086031154304,0.11220578023645615,-111.52570968917642
linrank,6,10.0,0.21009035854604535,0.7152356965874311,0.11065518772663355,-114.36691219857084
rff,36,0.001,0.5563812269260676,0.5321934667379971,0.5850743128513214,2.1313614431675476
rff,36,0.01,0.49439256552328886,0.5651770495783438,0.5359551791171573,-9.410001580726384
rff,36,0.03,0.4533706788282239,0.5873822421409457,0.4954644192672891,-17.264554982757844
rff,36,0.1,0.4144097770350494,0.6080553813282918,0.45858500409478825,-27.759034222203496
rff,36,0.3,0.3681789041193339,0.6305113803803557,0.4184687477413512,-43.525868693087254
