method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.3367755768258387,0.7671144202889378,0.38778677235987064,-132.72493233884492,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
ff,6,0.0,0.5774086928652689,0.6054047299663438,0.6439379412064483,-44.12098447591896,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
fm,6,0.0,0.6839304047253004,0.5450113112518272,0.7610730588264377,,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev,11,0.0,0.6236165848349408,0.5832269703005892,0.7234337752502954,-12.590468902757655,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev,11,0.0001,0.6187369325336874,0.5866056486284154,0.717056508486228,-11.908309538807025,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev,11,0.001,0.6138253240201877,0.5886185305569126,0.7118516042341042,-12.278679347556851,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev,11,0.01,0.583827244778001,0.6025397207731864,0.6799993070837654,-15.398442241903165,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev,11,0.1,0.5481792960275643,0.6238860371256839,0.6358510435756439,-23.416420980657506,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev,11,1.0,0.5559997089493043,0.6360541976960052,0.5807545321398194,-36.78817507677228,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev_m,11,0.0,0.6236165848349438,0.5832269703005882,0.7234337752502781,-12.59046890275709,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev_m,11,0.0001,0.6231728168616414,0.5833668476243887,0.7229398284728531,-12.625481531583347,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev_m,11,0.001,0.619216740208834,0.5847789554556334,0.7185267738026228,-12.938406145826413,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev_m,11,0.01,0.5885146917810676,0.5997708996493342,0.6842414374627604,-15.449663634862368,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev_m,11,0.1,0.5451054166862577,0.6249752969656013,0.6318541684243125,-22.627842810115553,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev_m,11,1.0,0.557078238228269,0.6327575941102646,0.5769084365504773,-39.35515606692872,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev_m,11,10.0,0.40922711505185255,0.6883939019644625,0.4418866146223601,-95.33175687994243,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linlev_m,11,100.0,0.346577657005348,0.7127939338818471,0.3929923761250175,-127.62138063394907,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linrank,6,0.0,0.6583804710520973,0.5642830386755252,0.7542220272595251,-11.139037773543414,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linrank,6,0.0001,0.6412738554479643,0.57163318184459,0.7404750155629617,-17.464671116698593,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
linrank,6,0.001,0.5481771067385222,0.6233000678315375,0.645431077740988,-52.45416646320324,kp_vy_estimators_vyxT860_s000_w720_summary@fef5802+dirty
