method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.054261415549725314,0.3670905660698996,0.11273103648498461,-65.86860666760006,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
ff,6,0.0,0.26207405816205526,0.2875759053826538,0.24893670356799666,7.512821919049055,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
fm,6,0.0,0.25174333983867564,0.3030456897522105,0.18021853017987377,,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,0.0,0.27324067137405217,0.2778125322940126,0.22375566218541854,11.3977133655751,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,1e-07,0.27322294060419444,0.277773125216597,0.22416161469106002,11.411646186402104,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,1e-06,0.2730091280968773,0.277543227438871,0.22746899482111874,11.475893323394706,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,1e-05,0.26977477283917756,0.27924163036118704,0.24336285685718403,9.81781140320655,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,0.0001,0.2635511011867013,0.28460523758766626,0.25689864242373345,5.30011970926474,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,0.001,0.2716724390105851,0.2701998930106128,0.2624423697593008,7.721094393899597,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,0.01,0.26642635266966413,0.27346311337121687,0.25329526805456215,3.929067329631503,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,0.1,0.22358914872129013,0.3088522991009712,0.20834050201852183,-5.463086161957355,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,1.0,0.14970178888905242,0.34989341465890583,0.14048037964687446,-15.070342075218964,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,10.0,0.11010821381322165,0.36296066929680654,0.09917696374149666,-22.053527661268795,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,100.0,0.09570142204718277,0.36890600991615163,0.040629670719149955,-25.881420785256314,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev,11,1000.0,0.09127117192625415,0.37071569848120334,0.025664769277089907,-28.041603744420012,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,0.0,0.27324067137395375,0.277812532294106,0.22375566218638054,11.397713365508476,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,1e-07,0.2732424514352701,0.27780899850300544,0.22375658733387843,11.398616801107677,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,1e-06,0.27325846355023836,0.2777772159527948,0.22376490965448514,11.406741627791838,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,1e-05,0.2734177521282657,0.2774615156123609,0.22384773601613664,11.487388349369596,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,0.0001,0.2749298110885515,0.2745073797169642,0.2246375840493176,12.235368996119453,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,0.001,0.2839781581442907,0.2584374630465026,0.2297019938677165,15.595136221043266,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,0.01,0.2749576440895792,0.2660504691988587,0.23231155918168647,7.077945401103438,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,0.1,0.22594231899173933,0.3071144630731476,0.21184908343795153,-5.022407539203258,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,1.0,0.15775706835693246,0.34711986350348933,0.1425468464658183,-13.306493137760022,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,10.0,0.11982433768765301,0.36041751326469806,0.11316504040247734,-24.09806929335675,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,100.0,0.06949757234384508,0.36645518986171316,0.08085368358146373,-72.84728361298752,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,1000.0,0.05596767813728442,0.3678480671896504,0.07824798178307125,-67.08466551919689,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,10000.0,0.05443570258221563,0.3680146281922233,0.07822328386341962,-65.99579533261657,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linlev_m,11,100000.0,0.0542788837128069,0.36803165543265987,0.0782242220334495,-65.88138311697323,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,0.0,0.26660038711368483,0.28071174078801836,0.21943994069043363,9.443991751021725,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,1e-07,0.2665976717364088,0.2806846671647648,0.21941319325912517,9.443113390919585,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,1e-06,0.26657282438256136,0.28044414026464015,0.21917246447963293,9.434865618439854,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,1e-05,0.266285474202928,0.27832938600684354,0.2167663212866471,9.319349342890321,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,0.0001,0.2608068293323336,0.2734849942191475,0.19376534820196537,5.8462983072766965,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,0.001,0.2122729221753304,0.30789510356020644,0.10030899174688855,-20.320324499366468,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,0.01,0.18593270191747308,0.32794704533384644,0.04906973956875462,-37.836505468901365,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,0.1,0.15719044075832564,0.3442882074438737,0.042536483140797055,-29.045532829042507,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,1.0,0.1448669230618949,0.35985449524772206,0.043048086196094744,-28.541996109596198,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,10.0,0.14344907869645487,0.3693770723252589,0.04302840154275057,-28.51566667058665,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,100.0,0.14330540344243464,0.370824177925221,0.04302287988743633,-28.513272368469313,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
linrank,6,1000.0,0.14329101688594764,0.37097617405045663,0.04302228152996153,-28.51303539554978,kp_vy_estimators_vyx_s009_w360_summary@de109da+dirty
