month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd
774,ff,6,0.0,0,0.25283356525211764,0.4417323498771966,0.5723682345710166,0.35228884293479756,0.3795673389353778
774,fm,6,0.0,0,0.3036591614971628,0.5736233439944088,0.5293702996510592,1.1648938169191092,0.44011649293564825
774,linrank,6,0.0,0,0.26082730550606426,0.4277661999495141,0.6097426714332448,0.4192294889264059,0.35554238289815915
774,linrank,6,0.001,0,0.17406806965544702,0.3155249261238956,0.5516777130536323,0.16636369883745977,0.4079017213616555
774,linrank,6,0.01,0,0.12449469048683687,0.27955955607918237,0.44532439610676383,0.09657474543496578,0.47084528117441526
774,linrank,6,0.1,0,0.06884470337649864,0.21949987339747684,0.313643476467217,0.0610810412650081,0.5414125696449955
774,linrank,6,1.0,0,0.026917272661809974,0.09538222392349925,0.2822042887508978,0.026137943634940465,0.5821699516780091
774,rff,36,0.001,0,0.3904921668789091,0.5471541246031453,0.7136785584174035,0.4596365733448545,0.29705962349968806
774,rff,36,0.01,0,0.2702078795655335,0.4370229880581574,0.6182921424023013,0.43866653707862546,0.3497678199330013
774,rff,36,0.1,0,0.1964346204071979,0.3824635881583166,0.5136034553069296,0.44057063536980634,0.4181779043405447
774,rff,36,1.0,0,0.14844573748055967,0.3548215424502802,0.4183673191189084,0.3944134218598315,0.4772251777953103
774,rff,360,0.001,0,0.45364403958505733,0.6278724216589592,0.7225098984064994,0.3739123131129356,0.3189108021543063
774,rff,360,0.01,0,0.32277182977914776,0.48736776989195524,0.6622756975716781,0.40537790407317587,0.3223475264636275
774,rff,360,0.1,0,0.20751622570190537,0.3865138415897764,0.5368920938209275,0.3981816832563712,0.4036056710597264
774,rff,360,1.0,0,0.14976258004288656,0.3553936048166672,0.42139919799666303,0.3839811287885163,0.4753904734334007
774,rff,3600,0.001,0,0.4557602183907079,0.6325164973585095,0.7205507212761024,0.37901647082473255,0.3224562481102933
774,rff,3600,0.01,0,0.345966460638327,0.5124427473292978,0.6751319292572746,0.4444608104769405,0.3165396286938418
774,rff,3600,0.1,0,0.2117650938632248,0.3870791580549706,0.5470847227407455,0.43099013675544134,0.39732673064648205
774,rff,3600,1.0,0,0.14951701821976793,0.3555017670913276,0.42058023914507675,0.3921374892925942,0.4758849974963373
774,rff,36,0.001,1,0.441764188955041,0.61038679737316,0.7237446662611354,0.2894850111549395,0.31038145193397254
774,rff,36,0.01,1,0.3021110314082859,0.47371953619228624,0.6377423946595624,0.22821951345308983,0.3376414002457274
774,rff,36,0.1,1,0.18495984266882276,0.37863692188653136,0.4884886601847321,0.3211629623856114,0.4338385654716237
774,rff,36,1.0,1,0.140272886076933,0.3575931990785244,0.39226944594695795,0.3617900212677465,0.4931857952351857
774,rff,360,0.001,1,0.4607288950354108,0.6442489613467803,0.7151410753884226,0.4538305237527763,0.33205223763962044
774,rff,360,0.01,1,0.34358451298265325,0.5115326428315127,0.6716766130129885,0.4888697141717222,0.31872912507189866
774,rff,360,0.1,1,0.21801913392209377,0.38757197514266645,0.5625255382354213,0.47451728247152947,0.38788829962142624
774,rff,360,1.0,1,0.15177602163918513,0.35467568409770467,0.4279290305037502,0.40510292359645084,0.47146094714990916
774,rff,3600,0.001,1,0.457942806883119,0.6483469763291214,0.7063236563174049,0.32057703016307737,0.3403619911183521
774,rff,3600,0.01,1,0.3437316420598068,0.507085803533479,0.6778569616120457,0.4388106836483161,0.31400635857219783
774,rff,3600,0.1,1,0.21110326878796776,0.38495969996346724,0.5483775803233468,0.4375818848646942,0.39673421190647845
774,rff,3600,1.0,1,0.14877773075656836,0.35529316555603696,0.41874639081145815,0.39304745877274994,0.476994773940253
774,rff_ens,36,0.001,-1,0.416128177916975,0.5658247888054323,0.7354364569207079,0.374560792249897,0.2872461850427499
