method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
ff,6,0.0,0.6470108495345773,0.5964895438597816,0.7242089963635802,-22.2666550813423
fm,6,0.0,0.7408015545124442,0.5425892572583219,0.8201723897259292,
linlev,11,0.0,0.7404492012369444,0.548610745195403,0.8315068228764017,-0.10837389863629922
linlev,11,0.001,0.7304470930773226,0.556808661652601,0.8161321920845298,-2.8872831221858637
linlev,11,0.01,0.6965545840489589,0.5747232787911487,0.7651400586761373,-11.370261496342536
linlev,11,0.1,0.6376334359381775,0.6088035700074078,0.6666121488700704,-26.2278584846641
linlev,11,1.0,0.5980991135991526,0.6407841923443047,0.6026567254113108,-28.43566065844
linrank,6,0.0,0.7475352995906872,0.5394196333451455,0.8111446172749469,2.459723418007197
linrank,6,0.001,0.6879458893299768,0.579661568941085,0.6855157999968086,-17.887453050921568
linrank,6,0.01,0.5906831414489713,0.6332173204204754,0.5491394630907442,-51.72368369219571
linrank,6,0.1,0.4319308191945413,0.7092871782644865,0.3622165031912367,-78.4682733375979
linrank,6,1.0,0.3550818531082861,0.7638870490317794,0.27725312121492085,-96.01531874444247
rff,36,0.001,0.8244329242574022,0.49723698207254285,0.9000613199842242,16.65211354504465
rff,36,0.01,0.7440651467453264,0.5415565605105043,0.814293176120272,0.6338945481537626
rff,36,0.1,0.6160497092131001,0.6141690137433203,0.6735678560710024,-24.22367151330582
rff,36,1.0,0.4528846731229336,0.6930573927660495,0.509511143538338,-64.59037069245579
rff,360,0.001,0.8449259791826906,0.4863863249449831,0.938007773911386,20.98424019054881
rff,360,0.01,0.7796232175666206,0.5206260273242923,0.8842751274927447,9.352547348585297
rff,360,0.1,0.6455508096006016,0.5996128057296646,0.7094310679438183,-23.879643994115618
rff,360,1.0,0.4621558501280965,0.6893006558042662,0.5170563474353338,-66.39452999780242
rff,3600,0.001,0.8426857029463369,0.48838105033417034,0.9287149186210865,19.02379193001095
rff,3600,0.01,0.7823637338323086,0.5190606371902451,0.8790141406522554,10.150544938812903
rff,3600,0.1,0.6397541504979871,0.6026370198347948,0.7012436327640205,-25.22517689887845
rff,3600,1.0,0.4573156022196989,0.6912637392130472,0.5122856645047787,-67.39510560123016
rff_ens,36,0.001,0.8471630675244322,0.4820853545251617,0.9250747417840328,21.01216914353755
rff_ens,36,0.01,0.7555467289311061,0.5353096425230291,0.8272956264377462,2.884314499831763
rff_ens,36,0.1,0.6214960746275981,0.6118220873994036,0.6791513773745559,-23.357889384034678
rff_ens,36,1.0,0.4539119480495598,0.6926559960235182,0.5096586518761725,-64.28371041694854
rff_ens,360,0.001,0.8484250537647645,0.4839154326797478,0.9408284223235679,21.589000167201473
rff_ens,360,0.01,0.780532822708477,0.5200999659626426,0.8837875998779265,9.575827073910823
