method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.07819421759076696,0.1158386605220503,0.10027068375370865,10.027288759180806,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
ff,6,0.0,0.03671164690782305,0.2814741815423298,0.04612651237230822,0.7424649142333716,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
fm,6,0.0,0.03491057225226648,0.34455747258322206,0.11638651859681243,,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev,11,0.0,0.033275871316405754,0.39217078650371784,0.061461452793627386,-0.530652995788676,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev,11,0.001,0.05417209942925343,0.2792075922019011,0.11065215827098186,4.375882116452483,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev,11,0.01,0.0629235222019189,0.17779845823438847,0.07695987788634462,5.761293353496358,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev,11,0.1,0.07197887596429206,0.16379129680715854,0.052893642952727624,7.867112940825304,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev,11,1.0,0.07286590853831927,0.16179799814886753,0.051585854089557896,7.946795018951534,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev_m,11,0.0,0.033275871315401134,0.39217078650802106,0.06146145278611621,-0.5306529960919606,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev_m,11,0.001,0.04355699212875405,0.3328800517276426,0.06552486757310716,3.583333516830834,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev_m,11,0.01,0.07001179454096779,0.24506927052555771,0.06260079344764678,9.032592110194608,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev_m,11,0.1,0.07333777154097598,0.23011985271175978,0.046183049268362454,7.776368179046227,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev_m,11,1.0,0.07100397945988636,0.2197175040296059,0.040844371495601675,6.213558151293433,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev_m,11,10.0,0.07084775667144291,0.17813013853755053,0.04283480539344637,6.1386378856912485,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linlev_m,11,100.0,0.07220004700983912,0.13983737517737888,0.059965662642016984,6.989636893297306,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank,6,0.0,0.034728199370923175,0.34471483177427314,0.11132299152125537,-0.12914884336834667,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank,6,0.001,0.04532829931020635,0.2898732374256375,0.17618096056259452,3.1316351889995344,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank,6,0.01,0.047604255408854844,0.18086839709103097,0.20211999348274737,3.4823675829054728,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank,6,0.1,0.05247298066478748,0.12852761192762155,0.20122859666207274,4.475279998762524,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank,6,1.0,0.053419177172912446,0.1408136796292712,0.17888128438241482,4.533816533121089,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank_m,6,0.0,0.03472819937092322,0.34471483177427337,0.1113229915212564,-0.12914884336832738,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank_m,6,0.001,0.037168530913813246,0.31373170136241757,0.11066965441849715,1.6173557880178926,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank_m,6,0.01,0.05081442680708787,0.20011151438676023,0.11272847493079181,7.859350311579292,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank_m,6,0.1,0.07509395494406766,0.12016072164143138,0.11216375632667701,10.228627516378834,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank_m,6,1.0,0.07856066489694037,0.1152522251653518,0.10213546911150713,10.195145428448374,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank_m,6,10.0,0.07825389850726813,0.11529156821158303,0.10039215399980882,10.049478499704303,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
linrank_m,6,100.0,0.07820047973736563,0.11530879385787618,0.10020799533466931,10.02957744079999,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
mkt_est,1,0.0,0.07819421759076696,0.11531089767244886,0.1001874195861232,10.027288759180806,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty
