method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.12901426570526595,0.27644712485594025,0.027631445965604674,0.8401269631983996,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
ff,6,0.0,0.1256789679255586,0.3246207165368442,0.14613371155308005,0.4609609154404986,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
fm,6,0.0,0.12455710405793238,0.3537786271019503,0.15873151972635804,,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev,11,0.0,0.1303157970525518,0.2936424366737493,0.1414045818112451,1.8115016685465428,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev,11,0.001,0.1445117894086758,0.26353138579403035,0.12179883025186088,6.008965189256488,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev,11,0.01,0.14242527043794292,0.2537551418455946,0.13207176752421243,5.138980294307119,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev,11,0.1,0.12103805381372577,0.26152732326158434,0.12173283764638082,-0.5256961612731658,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev,11,1.0,0.08682478438271019,0.2754820679231568,0.10049174477974795,-3.113137546364517,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev_m,11,0.0,0.13031579705255122,0.2936424366737859,0.14140458181118662,1.8115016685450551,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev_m,11,0.001,0.1344951086905147,0.27917105045412377,0.14330001290234262,2.9850075889612024,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev_m,11,0.01,0.14020267897828664,0.2560949955333725,0.1439246757896613,4.466766160137288,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev_m,11,0.1,0.13444692801155042,0.25553207985070603,0.1277919275278634,1.8527608303694192,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev_m,11,1.0,0.11289076669091545,0.26588780571060233,0.10575916269748759,-1.1775335822634594,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev_m,11,10.0,0.11333429345815112,0.2689997126812999,0.08566955930572481,-1.08923881189285,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linlev_m,11,100.0,0.13136429924672194,0.27099357677916397,0.026799959462554753,1.3428417259310297,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank,6,0.0,0.12790694238808853,0.28503071450148065,0.11865239814226029,1.660457345628455,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank,6,0.001,0.1463690526512254,0.2646042346685579,0.11286441440047022,9.264347837412368,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank,6,0.01,0.14792083840230566,0.2557933971084826,0.11386255683759319,9.357326713262827,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank,6,0.1,0.14150895021410848,0.26129466180909405,0.10987899726600253,6.871668601357701,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank,6,1.0,0.138983235762043,0.28785172005424675,0.10957856642583087,5.849292158811722,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank_m,6,0.0,0.12790694238808845,0.28503071450148076,0.11865239814226065,1.6604573456284137,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank_m,6,0.001,0.13102599234714907,0.27913215309488537,0.1180616464802555,3.1187184783868123,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank_m,6,0.01,0.14163536472160462,0.2606798932552168,0.11080881342770936,7.057454850599791,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank_m,6,0.1,0.1554433094927039,0.25239249607364544,0.07724220727152237,13.00884721541364,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank_m,6,1.0,0.14435081765308327,0.2674050179137651,0.014038258467804569,5.4118652586406295,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank_m,6,10.0,0.13098394293570695,0.2717971334607136,-0.0002498127749532757,1.2612098722845115,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
linrank_m,6,100.0,0.12921611995771054,0.2722987148971719,-0.0017417314638028356,0.8817408039634927,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
mkt_est,1,0.0,0.12901426570526595,0.27235521932774664,-0.0019079860326532746,0.8401269631984006,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty
