method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.046698651324425904,0.03963204284029831,0.18634981127632325,103.12273289346548,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
ff,6,0.0,-0.002786824774715186,0.35020212298972697,0.13188768631033967,0.5105356680399827,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
fm,6,0.0,-0.003120171619248147,0.3478621276843831,-0.10600133863555487,,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev,11,0.0,-0.016049120864815247,0.6065077664211321,-0.08745715195835956,-8.137187751613027,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev,11,0.001,-0.018001797968035912,0.35448474775412,-0.1070662862409279,-5.618794090890871,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev,11,0.01,-0.017152915084370023,0.3048569426830887,-0.13082078908640216,-3.8387941841500277,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev,11,0.1,-0.017349693289310707,0.294143769361618,-0.13101148156426584,-3.715098340785612,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev,11,1.0,-0.014202830175017297,0.25528208511906,-0.1125847037257234,-2.826281757901259,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev_m,11,0.0,-0.016049120864816812,0.6065077664224782,-0.08745715194879201,-8.137187751640267,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev_m,11,0.001,-0.013700236690810164,0.3514819003448976,-0.08739633851882139,-3.678894090731845,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev_m,11,0.01,-0.011537382912689527,0.3026410804405418,-0.11022589428086796,-2.183597417378799,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev_m,11,0.1,-0.010692697251274938,0.293105680680369,-0.10768213883859162,-1.8468021143822029,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev_m,11,1.0,-0.007200581356516931,0.2555914966598164,-0.06724221137268951,-0.9782085558346749,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev_m,11,10.0,0.010503528106328047,0.17586026862127477,0.05164553715888692,3.3328178517858045,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linlev_m,11,100.0,0.027555070382669355,0.07126399824399195,0.11199968255123129,8.933833102630087,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank,6,0.0,-0.003263270509944691,0.3812738599919486,0.03286901350419903,-0.5696155476166135,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank,6,0.001,-0.004903449445561389,0.17768383696729514,0.11297690180190585,-5.608848157901024,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank,6,0.01,-0.003894249093485814,0.0753428440412063,0.048466742527288324,-2.3679208165284424,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank,6,0.1,-0.0026879535706520563,0.05557464689208067,0.015111385050645748,1.1873874835536005,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank,6,1.0,-0.00249498060178121,0.05481256301090805,0.00901182980093565,1.6661889583596736,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank_m,6,0.0,-0.0032632705099446893,0.3812738599919481,0.032869013504198775,-0.5696155476166047,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank_m,6,0.001,-0.0010716479405150007,0.1794433195415111,0.14365961366960514,4.751422809668802,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank_m,6,0.01,0.010820566964906686,0.06841063133556563,0.14354995252214056,11.549375694933344,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank_m,6,0.1,0.03214527433772797,0.04434497759202127,0.1192376640180078,15.785808919031114,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank_m,6,1.0,0.034091970076036385,0.04378736312360432,0.11498858453268113,14.282581555863208,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank_m,6,10.0,0.03393458562490118,0.04378494960590955,0.11458349744919273,13.781395781649916,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
linrank_m,6,100.0,0.03389018054337465,0.0437853082185855,0.11454329710167882,13.74126226290138,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
mkt_est,1,0.0,0.03388576258592428,0.04378535487938091,0.11453883399915202,13.738214717038968,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty
