model,tag,window,source,n,gap,fair_gap,fair_gap_sd,fair_gap_t,seeds_fair_gap_positive,dkkm,lin,fair_lin,mkt_est,ew,linrank_m,linlev_m,fair_gap_over_fair_lin,fair_winners,preregistered,verdict
bgn_gam,g0235,360,E1 re-score,10,0.022651717833447604,0.0005831716443031661,0.000870167399276676,2.119305623672534,6,0.10810944847986423,0.08545773064641664,0.10752627683556107,0.10607382907435044,0.10607382907435044,0.10752271117915416,0.09128622660254128,0.5423526801685927,mkt_est:6;linrank_m:4,<= +0.003,PASS
bgn_gam,g0235f,360,E1 re-score,10,0.021074567897079084,0.0025201376059722433,0.0028807280288525782,2.766444722340042,10,0.13252982324843643,0.11145525535135734,0.13000968564246418,0.12088048479512661,0.12088048479512661,0.13000848558386457,0.11882953158487652,1.9384229671186193,linrank_m:7;mkt_est:3,<= +0.008,PASS
bgn_gam,g0235r,360,E1 re-score,10,0.020904892742040784,-0.0024551711308409287,0.006890063831287948,-1.1268303181303485,3,0.031788589458862204,0.01088369671682142,0.03424376058970313,0.03123566860955278,0.04720332820686783,0.03229090150690801,0.01768453808782278,-7.16968898439029,mkt_est:4;linrank_m:3;linlev_m:3,<= +0.004,PASS
bgn_gam,g0235s,360,E1 re-score,10,0.018004374151245638,0.0011841332309946093,0.0034192359143280743,1.095144692223763,5,0.06163205697158197,0.043627682820336335,0.06044792374058737,0.049968342589671845,0.05162847579787004,0.05763791608206413,0.04657271495395581,1.958931188565424,mkt_est:6;linrank_m:2;linrank:1;linlev_m:1,<= +0.008,PASS
gs_bx,bx7,360,E1 re-score,10,0.007761407693502653,-0.0008724622716754337,0.0028366133514499178,-0.9726274289898375,3,0.296425857824384,0.2886644501308814,0.2972983200960595,0.29261316916068847,0.29261316916068847,0.2972982548662846,0.29434503829507597,-0.2934635726813169,linrank_m:9;mkt_est:1,<= +0.006,PASS
gs_bx,g28,360,E1 re-score,10,0.028302669857044847,-0.0021958175663501665,0.0022992384604255,-3.0200368319297355,1,0.2975266603646921,0.26922399050764734,0.2997224779310423,0.2943535815944569,0.2943535815944569,0.2997200715767876,0.2974860255780226,-0.7326169133218504,linrank_m:8;mkt_est:2,<= +0.006,PASS
gs_bx,gx7,360,E1 re-score,10,0.022937022288162922,5.140064605530514e-05,0.0005659340917881473,0.2872120925341957,3,0.4392729229119878,0.41633590062382486,0.4392215222659325,0.43853146861369857,0.43853146861369857,0.4392138880566974,0.43826548234313967,0.011702670167465961,mkt_est:5;linrank_m:5,<= +0.004,PASS
kp_vy,vyx,360,E1 re-score,10,0.10462666830135954,0.10455445589284547,0.015408733826342228,21.457325687317127,10,0.7474760589291797,0.6428493906278201,0.6429216030363342,0.3675217867909607,0.3675217867909607,0.6372252516545265,0.6346981305115739,16.262395819189276,linlev:4;fm:3;linrank_m:2;linrank:1,>= +0.080,PASS
bgn_gam,bgnbase,360,own run,10,0.006627817152223226,0.0011822105445789377,0.007067663956209477,0.5289552556404346,6,0.22140563848951006,0.2147778213372868,0.22022342794493105,0.1405146121495228,0.1405146121495228,0.21446237057327613,0.2014077831673322,0.536823241564726,linrank_m:7;fm:1;linrank:1;linlev:1,,
bgn_gam,g0235d,360,own run,1,0.0003754438304552077,0.0003754438304552077,,,1,0.1484200286772187,0.1480445848467635,0.1480445848467635,0.0655117101706079,0.0672039964806215,0.1414834792660171,0.1228515862650303,0.25360186652137146,linrank:1,,
gs_bx,gsbase,360,own run,10,0.012537277576548383,-0.0021903175391887186,0.0013718109206535417,-5.049086662432805,0,0.290761506218892,0.27822422864234364,0.2929518237580807,0.28384684685355777,0.28384684685355777,0.29231097893300256,0.2927297953792998,-0.747671583365011,linlev_m:6;linrank_m:3;fm:1,,
kp_vy,kpbase,360,own run,10,0.005338339278575743,-0.0023877702308913395,0.0046215819307676535,-1.6338112299804184,3,0.20734083463232955,0.2020024953537538,0.2097286048632209,0.07809826591212635,0.07967197536322249,0.20851409306017424,0.1884148759474828,-1.1385047988320793,linrank_m:7;fm:1;linlev:1;linlev_m:1,,
kp_vy,vyg25,360,own run,10,0.1450203139107387,0.1450203139107387,0.019277273514695593,23.789385910872483,10,0.9450372337249506,0.8000169198142121,0.8000169198142121,0.4694246113384815,0.4694246113384815,0.7903257507441623,0.7931172126727577,18.127155853705787,linlev:7;fm:3,,
