method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.39890480101468084,0.3647004661794506,0.29096132354351956,6.5802684355989065,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
ff,6,0.0,0.36397421581252315,0.2436322868226492,0.22126442191854745,-12.96740956796926,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
fm,6,0.0,0.38660783706059315,0.2222572717189156,0.2439391022473358,,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev,11,0.0,0.3339093796813586,0.3246780311874258,0.1757943756633987,-6.559376692485862,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev,11,0.001,0.39466591678272617,0.41587125572594597,0.2392867418877637,3.3180565583902966,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev,11,0.01,0.40099536248308915,0.3444706652671607,0.2491626996591712,5.5010648600390795,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev,11,0.03,0.4030910093186675,0.29679399158982395,0.2605222167807251,5.875727561211856,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev,11,0.1,0.403373728998232,0.25437314962305474,0.2760506837346551,6.58154130298232,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev,11,0.3,0.40212184656667627,0.21068040343445052,0.28884755249612154,8.201737639252183,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev,11,1.0,0.39744399790975565,0.17105431861252143,0.3071820358198435,6.820834276632613,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev,11,3.0,0.38983689573613084,0.20106849856516915,0.3326496567225252,1.8849218682607944,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev,11,10.0,0.37933094514375526,0.2830281319729343,0.3637668654629075,-3.1729421514838334,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,0.0,0.33390937967888673,0.3246780311927493,0.17579437565878103,-6.559376692383936,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,0.001,0.33731113368154736,0.30280754214865685,0.18046059213449736,-5.924834993304029,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,0.01,0.34485648668575886,0.262083415468349,0.18721152222040213,-5.141571086896551,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,0.03,0.3562442491679521,0.23530174098242634,0.19335859466105101,-4.305023169889361,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,0.1,0.381967552432213,0.21468165977322315,0.20107505187094102,-1.2996006914662046,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,0.3,0.40029038071841544,0.204150884543245,0.20754905293972556,11.721230467697149,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,1.0,0.4042250112144379,0.1893151811744271,0.21993136893511864,10.523397130091466,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,3.0,0.40319253387309234,0.178977023570701,0.23708183814372127,8.931415348365926,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,10.0,0.4012303847782653,0.17414326186760212,0.2559164944112821,7.7424618215339125,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,100.0,0.39924340219076915,0.17318669052761385,0.2721616920936983,6.746855118640633,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linlev_m,11,1000.0,0.3989402945265437,0.17326494628377168,0.2745123934937436,6.597737879606364,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank,6,0.0,0.36884649444944656,0.250053560637137,0.1943314995616409,-8.313136251350956,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank,6,0.001,0.3055302020915312,0.2744014035545073,0.22690385945295083,-19.86193219931975,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank,6,0.01,0.3037915013737122,0.2757282979277717,0.25345904686156107,-23.473399529344082,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank,6,0.03,0.31132043855771613,0.27355673772837746,0.263239540885684,-25.18227559537225,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank,6,0.1,0.3211743182805094,0.2874451446677529,0.2718206489076988,-26.836393196810672,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank,6,0.3,0.3238013879342905,0.32406880605970073,0.27678012011801345,-28.22628714496823,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank,6,1.0,0.3157817880383501,0.36515211138141157,0.27586904281871166,-30.694012523607984,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank,6,3.0,0.30769450747232496,0.38742857451553236,0.27221392106918973,-31.988860473370394,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank,6,10.0,0.30331001273584196,0.3979327842082806,0.2697400815233736,-32.45475924867146,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,0.0,0.3688464944494465,0.25005356063713713,0.19433149956163936,-8.313136251350912,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,0.001,0.3756164524387824,0.23845039994227646,0.203186946088117,-7.2048867155602325,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,0.01,0.3902515911918525,0.21405345095563313,0.22309863452795384,4.998400246820173,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,0.03,0.3997324966828036,0.19615377051659322,0.23319637880836366,12.165683452102373,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,0.1,0.4077951606493992,0.17643743193156367,0.2437872229129954,12.894847504011155,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,0.3,0.4099108318661856,0.16524266010350566,0.25356857815876677,12.107074215673494,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,1.0,0.4071937407749594,0.16319450312622882,0.26422733211735816,10.293142011057665,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,3.0,0.40312852292412277,0.16737073652531562,0.2704727728506227,8.491516925134503,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,10.0,0.4004259897680979,0.17104272477283108,0.2733873606791724,7.284838714591021,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,100.0,0.3990690617225586,0.1730315578306004,0.2746418718953122,6.657394245040657,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
linrank_m,6,1000.0,0.3989213572656047,0.17325267413842604,0.2747716037278359,6.588054070975639,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
mkt_est,1,0.0,0.39890480101468084,0.17327751161930666,0.2747860673253732,6.580268435598896,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty
