method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.2758177860855896,0.27183080092393846,0.3247704709440218,18.403314439402013,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
ff,6,0.0,0.25519973471649815,0.18613913858792086,0.3132979446105314,10.549384267337292,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
fm,6,0.0,0.2438887384986285,0.19677367489683847,0.3105920393990604,,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev,11,0.0,0.24445874858030148,0.23232792064329666,0.33690056961355996,0.4322048823732437,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev,11,0.001,0.2469896118972799,0.2547356699255239,0.3166070595736412,2.206061456627051,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev,11,0.01,0.24809953654835884,0.229200478522194,0.28188563975988784,3.4654928519873245,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev,11,0.03,0.24573979412955188,0.21588991956312306,0.25626711192794055,1.6456019492412735,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev,11,0.1,0.24059772289777684,0.20176761283084751,0.23230545878161263,-2.9592047632043497,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev,11,0.3,0.23185504679324695,0.20230467855841872,0.21324913828471098,-9.191487451529078,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev,11,1.0,0.2128480549898328,0.2299664079136542,0.19409321212179145,-15.262811533828119,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev,11,3.0,0.19294118121449483,0.2569155421263639,0.18178208424667258,-17.975186740069322,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev,11,10.0,0.17943923127059383,0.27352606334678925,0.17502989501824476,-19.194875966661115,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,0.0,0.24445874858082395,0.2323279206415175,0.336900569615948,0.4322048827878009,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,0.001,0.25531844427643907,0.21352150889038554,0.33422971595574713,8.527303252948187,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,0.01,0.2621282741403298,0.19171076160415879,0.321306898525893,13.809120856066594,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,0.03,0.2666860800683881,0.18535808587190877,0.3146455572612584,16.328260955983026,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,0.1,0.27164998469665447,0.18101781615256468,0.3126983514511711,17.70888245938202,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,0.3,0.2762412722092618,0.17254493109130303,0.3156008772167402,18.185540992853436,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,1.0,0.2811393585205455,0.15809428492923472,0.31997419652156717,18.341176642108852,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,3.0,0.2828657146294649,0.1478296622596138,0.3202817340683239,18.41008478264925,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,10.0,0.2804483624173367,0.14530938143710484,0.316412870079982,18.475216122242674,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,100.0,0.2765092290671054,0.14705542257772994,0.3117063889154098,18.42736838762122,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linlev_m,11,1000.0,0.2758900731513099,0.1474501456483543,0.31100812650868803,18.406072581974115,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank,6,0.0,0.2547631767204515,0.18627986594724313,0.34037535680035297,7.800398981948132,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank,6,0.001,0.04564030575003356,0.2817976580033786,-0.06801758034495216,-40.61837543527395,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank,6,0.01,0.03684534636323331,0.2811628743041159,-0.1614115913617445,-40.02091665378137,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank,6,0.03,0.03343008183902214,0.2815622266841524,-0.1885638435158614,-38.613250708983486,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank,6,0.1,0.02246031178638509,0.28280371697642004,-0.19618111677523406,-36.94972398330822,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank,6,0.3,0.0074359374871141104,0.28361519799837176,-0.1789244458507184,-36.12844409043613,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank,6,1.0,-0.00505941841768905,0.28367530003361374,-0.15865655363769365,-36.09413666725357,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank,6,3.0,-0.010401235058486068,0.28348317882503093,-0.14933940763158898,-36.21582501420896,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank,6,10.0,-0.012561263700936996,0.2833544732283828,-0.1455062603869252,-36.28748793611468,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,0.0,0.25476317672045146,0.1862798659472433,0.3403753568003526,7.800398981948056,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,0.001,0.2586868629658459,0.17916093240068703,0.3413884931582165,10.956708991394363,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,0.01,0.26550633529398143,0.1672478474424302,0.34006591578646955,15.4197383308261,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,0.03,0.26903839537935864,0.16132574481353282,0.3381747590529592,16.628091993111212,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,0.1,0.27518454509790513,0.15165080908680217,0.3369715705883509,17.67108381231357,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,0.3,0.2812176291023543,0.14248493515712218,0.33474398988554377,18.213258296816303,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,1.0,0.2831438216496398,0.13923640045696833,0.3271652090206684,18.467916034447864,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,3.0,0.28035684516455356,0.14233604211382686,0.3189647131419538,18.515852476561005,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,10.0,0.2775785508628332,0.1455007157073247,0.3137936522207223,18.468228001196668,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
linrank_m,6,100.0,0.2760135826609582,0.14727581703302628,0.31123545460582075,18.41196599214448,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty
