method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.4878217187232106,0.4229189255203166,0.49809306302626194,14.038893980880047,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
ff,6,0.0,0.3623355214999165,0.30711060700197834,0.3961053662300198,-7.312632767207375,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
fm,6,0.0,0.39464330218781857,0.301201566468111,0.5179595119137151,,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev,11,0.0,0.430930247818601,0.22966089168161508,0.5554388411258853,6.684861596549296,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev,11,0.001,0.42332892574113756,0.23715535251319914,0.5835298579446493,4.606283906278777,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev,11,0.01,0.43296006339844734,0.22549068457214982,0.5984874284614449,6.287875282041317,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev,11,0.03,0.4392851094226347,0.2181410558317603,0.6029873641830608,7.40216465615574,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev,11,0.1,0.4469631334733321,0.21223436407832114,0.5944538929861725,8.828547920373092,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev,11,0.3,0.4494016135607343,0.21634035822679404,0.5690807748296886,9.832006029936224,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev,11,1.0,0.4443238958444105,0.2358119591196905,0.5393322738065899,10.052096312411976,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev,11,3.0,0.4393269634922855,0.27466332616436767,0.520903295298874,9.695649402679548,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev,11,10.0,0.4367759594867307,0.34501612814156174,0.5024751515169712,9.161620483987475,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,0.0,0.43093024781902567,0.22966089168075018,0.5554388411250053,6.684861596690258,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,0.001,0.4391403594775233,0.21317507069114122,0.5719657787657867,8.518224300514893,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,0.01,0.45601228602331334,0.18841074303522784,0.5973194994943181,11.003581796030485,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,0.03,0.46475115026821945,0.17488207366874636,0.6043539596280734,11.921508968519795,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,0.1,0.47379401140733973,0.1637995032990673,0.595175617295679,12.751007210349925,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,0.3,0.47659754260930765,0.1668549706281076,0.5633372144208935,13.10332037129614,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,1.0,0.47256462859921206,0.17982058355440386,0.5218083443077195,13.013732787165083,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,3.0,0.47115395804114074,0.19089137422431304,0.49655215043379697,12.959192280249741,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,10.0,0.47439930721516144,0.21374642861679286,0.4862601937752019,13.20109983541916,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,100.0,0.48491631755295167,0.2674686011003151,0.49281096634005384,13.893615161675086,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linlev_m,11,1000.0,0.48752097585895776,0.2811196642461033,0.4936002152187931,14.024914026286682,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linrank,6,0.0,0.35938531112615557,0.3088503529273213,0.42191321233144524,-8.896385351799921,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linrank,6,0.001,0.27332410665805934,0.36825715692949074,0.3886177227548301,-20.179723501102938,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linrank,6,0.01,0.2670817650066582,0.37047529332982354,0.39745547491243716,-20.60230162904196,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linrank,6,0.03,0.2679644641074137,0.3684526348427192,0.40412502297375086,-20.594438846942428,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linrank,6,0.1,0.26629238771708597,0.3741554487785873,0.40366322995261844,-20.84074420132722,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linrank,6,0.3,0.2641766293602755,0.39427497895721036,0.3943685226182551,-21.15711155209903,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linrank,6,1.0,0.26410907126526456,0.4224430882053314,0.3789957229358366,-21.435613206600213,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linrank,6,3.0,0.2647376783696607,0.4385041163661666,0.3675090989008781,-21.63332814703503,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
linrank,6,10.0,0.26509411259804905,0.4458661965980203,0.3612248158539567,-21.755311260322454,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty
