method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.36615506373670126,0.7388362661389072,0.6616917802266048,-65.03780829421125,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
ff,6,0.0,0.5982785092218937,0.5595546185387089,0.6731361412286628,-9.417545620700757,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
fm,6,0.0,0.6572618716008433,0.5247089584027109,0.764980871819166,,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev,11,0.0,0.6409825562192387,0.5367168472667928,0.6801775980311858,-3.615178790439272,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev,11,0.001,0.6429986183277286,0.5355095562312684,0.6884328529326501,-3.167509951289754,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev,11,0.01,0.6391537432464148,0.5402791204789005,0.6945666657071805,-3.7573409032753426,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev,11,0.1,0.6029025118692717,0.5674572847686339,0.6965813862177387,-12.04958657245775,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev,11,1.0,0.5683176591159638,0.5925675380638216,0.6974391521873935,-22.411472745630103,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev_m,11,0.0,0.6409825562192377,0.5367168472667934,0.680177598031184,-3.615178790439542,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev_m,11,0.001,0.640998663167741,0.5368343823104668,0.6807912829812128,-3.5550686140990337,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev_m,11,0.01,0.6340618773865092,0.5434293294400444,0.6783756860422587,-4.616624081609115,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev_m,11,0.1,0.601848872245693,0.5684185119591737,0.6741211793665237,-11.571360713921887,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev_m,11,1.0,0.5502301755913664,0.5963007589516176,0.720307455038479,-23.48511099913722,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev_m,11,10.0,0.42290179446847503,0.6539508205795631,0.6797354279572684,-50.21903132352651,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linlev_m,11,100.0,0.3740551201276937,0.6737786573302135,0.6567641256918558,-63.21342883261422,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank,6,0.0,0.6441450638180511,0.5320047501782903,0.6873679208281561,-2.9685248661662187,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank,6,0.001,0.517764027119752,0.6050083647349619,0.4372604297522079,-29.365971339424327,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank,6,0.01,0.46284278038067084,0.6323898547843925,0.3338395871662276,-35.43177747340214,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank,6,0.1,0.3990006193398002,0.6689001166006986,0.20569030625291945,-33.57418615576997,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank,6,1.0,0.3447208880178831,0.7221529440311104,0.13360620940987708,-39.84786218887705,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank_m,6,0.0,0.6441450638180514,0.5320047501782902,0.6873679208281559,-2.9685248661661974,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank_m,6,0.001,0.6453449632905071,0.5313804782711794,0.6896615638491093,-2.682002117665944,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank_m,6,0.01,0.6490364457105015,0.5307851377218418,0.7021579357636895,-1.7288798926368725,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank_m,6,0.1,0.6071599087301026,0.5599018327148665,0.7090924624381438,-8.271810567977468,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank_m,6,1.0,0.48677364326107025,0.6233247462878846,0.716444690635765,-33.64319499722975,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank_m,6,10.0,0.3851746782361994,0.6682608385439063,0.6666930476206308,-60.38745643534603,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
linrank_m,6,100.0,0.368159535306119,0.6759037410663803,0.6549662468584755,-64.55990855296274,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
mkt_est,1,0.0,0.36615506373670126,0.6768120345221599,0.6535351159377564,-65.03780829421123,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty
